ID_DH,ID_SP,SL_SPMUA,GIA_SP
109,243,8,247000
110,4577,6,1584000
111,8472,3,2482000
112,7762,9,1772000
113,3003,7,10000
114,4668,5,1675000
115,2790,7,2794000
116,4401,2,1408000
117,6915,10,925000
118,5335,3,2342000
119,122,3,126000
120,450,2,454000
121,7454,9,1464000
122,5170,4,2177000
123,2701,7,2705000
124,8791,8,2801000
125,9896,2,909000
126,1275,8,1279000
127,7533,1,1543000
128,8436,5,2446000
129,1454,2,1458000
130,8389,8,2399000
131,6200,4,210000
132,3098,5,105000
133,9197,6,210000
134,4166,10,1173000
135,3727,2,734000
136,2906,4,2910000
137,693,7,697000
138,6336,10,346000
139,1203,4,1207000
140,7814,6,1824000
141,5782,4,2789000
142,5841,9,2848000
143,7775,2,1785000
144,3340,3,347000
145,1627,7,1631000
146,4153,4,1160000
147,7633,4,1643000
148,925,4,929000
149,8203,5,2213000
150,1000,4,1004000
151,5117,9,2124000
152,7342,9,1352000
153,2497,9,2501000
154,6620,5,630000
155,5347,10,2354000
156,4259,10,1266000
157,7695,4,1705000
158,7247,5,1257000
159,4764,3,1771000
160,5263,4,2270000
161,8771,7,2781000
162,9010,9,23000
163,8699,6,2709000
164,5204,6,2211000
165,7687,7,1697000
166,7045,2,1055000
167,7584,10,1594000
168,4960,1,1967000
169,2949,4,2953000
170,2211,9,2215000
171,533,10,537000
172,1204,2,1208000
173,8990,9,3000000
174,4239,9,1246000
175,4160,3,1167000
176,7698,2,1708000
177,5332,9,2339000
178,2383,7,2387000
179,3741,2,748000
180,7866,5,1876000
181,5975,5,2982000
182,8074,5,2084000
183,6579,3,589000
184,216,8,220000
185,3327,10,334000
186,4704,2,1711000
187,7003,5,1013000
188,9884,10,897000
189,8957,8,2967000
190,4943,8,1950000
191,9623,1,636000
192,7117,8,1127000
193,3539,10,546000
194,3585,2,592000
195,7219,6,1229000
196,747,6,751000
197,9291,1,304000
198,2087,7,2091000
199,6754,9,764000
200,3022,3,29000
201,2557,2,2561000
202,1014,10,1018000
203,9436,3,449000
204,3182,5,189000
205,9718,3,731000
206,5730,7,2737000
207,5584,2,2591000
208,9129,8,142000
209,6321,4,331000
210,51,1,55000
211,1260,1,1264000
212,3700,2,707000
213,1926,3,1930000
214,6171,7,181000
215,5531,3,2538000
216,4743,6,1750000
217,4165,6,1172000
218,7112,9,1122000
219,9072,9,85000
220,309,6,313000
221,1788,4,1792000
222,7233,5,1243000
223,2604,8,2608000
224,8726,10,2736000
225,6248,2,258000
226,8162,5,2172000
227,6142,9,152000
228,8441,1,2451000
229,8901,1,2911000
230,4463,3,1470000
231,8365,4,2375000
232,5479,10,2486000
233,2436,2,2440000
234,5983,4,2990000
235,6428,6,438000
236,1754,7,1758000
237,6168,4,178000
238,617,5,621000
239,3574,6,581000
240,9164,10,177000
241,1329,4,1333000
242,9217,7,230000
243,9502,10,515000
244,3247,3,254000
245,6956,6,966000
246,1522,3,1526000
247,1869,5,1873000
248,9736,6,749000
249,1021,6,1025000
250,643,9,647000
251,6411,2,421000
252,889,5,893000
253,4189,5,1196000
254,4120,2,1127000
255,6733,10,743000
256,4445,8,1452000
257,1109,1,1113000
258,6302,7,312000
259,4892,10,1899000
260,7448,3,1458000
261,5326,10,2333000
262,2975,7,2979000
263,6087,9,97000
264,489,10,493000
265,3017,2,24000
266,2510,7,2514000
267,4803,10,1810000
268,1056,7,1060000
269,4055,4,1062000
270,1420,2,1424000
271,4558,1,1565000
272,3219,10,226000
273,2793,3,2797000
274,9557,1,570000
275,7281,2,1291000
276,8031,10,2041000
277,8484,7,2494000
278,5891,4,2898000
279,107,8,111000
280,6740,9,750000
281,9543,9,556000
282,9975,8,988000
283,2666,4,2670000
284,8683,9,2693000
285,1898,7,1902000
286,1069,8,1073000
287,6296,2,306000
288,424,3,428000
289,9266,7,279000
290,2415,4,2419000
291,5833,10,2840000
292,7586,8,1596000
293,2848,1,2852000
294,4570,3,1577000
295,6753,3,763000
296,9159,3,172000
297,6377,4,387000
298,9384,2,397000
299,6530,2,540000
300,8682,2,2692000
301,5733,3,2740000
302,3686,7,693000
303,3983,2,990000
304,4191,4,1198000
305,1875,7,1879000
306,8744,7,2754000
307,1929,4,1933000
308,1946,7,1950000
309,8853,10,2863000
310,4628,8,1635000
311,6599,10,609000
312,5457,5,2464000
313,3511,10,518000
314,4432,4,1439000
315,8698,1,2708000
316,8823,1,2833000
317,9035,3,48000
318,9999,4,1012000
319,7609,8,1619000
320,6974,10,984000
321,154,10,158000
322,5172,9,2179000
323,8731,9,2741000
324,6359,10,369000
325,1651,4,1655000
326,2847,7,2851000
327,1340,10,1344000
328,8838,2,2848000
329,6999,4,1009000
330,9894,4,907000
331,7462,8,1472000
332,4642,2,1649000
333,3782,5,789000
334,253,8,257000
335,5372,6,2379000
336,1421,7,1425000
337,1592,8,1596000
338,9038,1,51000
339,6835,4,845000
340,6768,6,778000
341,5591,8,2598000
342,2617,6,2621000
343,7,10,11000
344,4000,7,1007000
345,1914,6,1918000
346,2417,10,2421000
347,6802,3,812000
348,4889,7,1896000
349,6757,6,767000
350,1176,7,1180000
351,7168,6,1178000
352,6104,5,114000
353,5608,1,2615000
354,5931,9,2938000
355,1639,1,1643000
356,6318,6,328000
357,9493,2,506000
358,4238,5,1245000
359,4326,7,1333000
360,3001,8,8000
361,5742,8,2749000
362,5807,3,2814000
363,8351,9,2361000
364,2707,4,2711000
365,6982,10,992000
366,2219,2,2223000
367,9782,6,795000
368,4569,6,1576000
369,7725,7,1735000
370,5129,8,2136000
371,5490,4,2497000
372,9022,1,35000
373,3363,8,370000
374,5489,4,2496000
375,6188,2,198000
376,4093,6,1100000
377,5664,8,2671000
378,6106,1,116000
379,3305,5,312000
380,1185,10,1189000
381,9087,2,100000
382,878,8,882000
383,922,2,926000
384,7101,4,1111000
385,6174,2,184000
386,9421,2,434000
387,5666,6,2673000
388,7400,2,1410000
389,6555,4,565000
390,2976,7,2980000
391,6735,4,745000
392,3815,4,822000
393,9837,4,850000
394,9446,9,459000
395,6383,6,393000
396,7245,2,1255000
397,6880,5,890000
398,4826,7,1833000
399,2128,2,2132000
400,7558,10,1568000
401,4616,2,1623000
402,4624,3,1631000
403,4837,8,1844000
404,7743,7,1753000
405,7983,3,1993000
406,9887,5,900000
407,974,3,978000
408,371,8,375000
409,4948,2,1955000
410,7629,2,1639000
411,1009,7,1013000
412,1807,8,1811000
413,8481,3,2491000
414,2855,1,2859000
415,448,1,452000
416,8067,9,2077000
417,1194,3,1198000
418,417,6,421000
419,9923,6,936000
420,3903,7,910000
421,3419,3,426000
422,2912,8,2916000
423,9954,8,967000
424,7110,10,1120000
425,34,10,38000
426,2991,9,2995000
427,5687,6,2694000
428,3463,7,470000
429,7795,2,1805000
430,2663,1,2667000
431,3502,9,509000
432,3956,8,963000
433,6588,10,598000
434,7287,9,1297000
435,1838,4,1842000
436,1995,6,1999000
437,391,10,395000
438,1570,10,1574000
439,9667,2,680000
440,9323,9,336000
441,4214,5,1221000
442,1609,3,1613000
443,9652,5,665000
444,6739,8,749000
445,3846,9,853000
446,9922,5,935000
447,565,8,569000
448,7207,6,1217000
449,2068,8,2072000
450,2728,8,2732000
451,3358,10,365000
452,1844,3,1848000
453,225,8,229000
454,8556,10,2566000
455,692,3,696000
456,5507,10,2514000
457,3512,8,519000
458,5908,5,2915000
459,10,9,14000
460,7754,9,1764000
461,8444,9,2454000
462,9856,4,869000
463,4845,1,1852000
464,5764,9,2771000
465,6478,9,488000
466,239,1,243000
467,8936,3,2946000
468,681,1,685000
469,7771,4,1781000
470,6089,6,99000
471,4519,3,1526000
472,2930,6,2934000
473,1479,10,1483000
474,5261,3,2268000
475,8967,2,2977000
476,4836,9,1843000
477,883,2,887000
478,7887,1,1897000
479,3228,6,235000
480,4300,1,1307000
481,1374,1,1378000
482,2366,10,2370000
483,6365,9,375000
484,526,2,530000
485,6225,9,235000
486,1581,5,1585000
487,2513,4,2517000
488,9014,9,27000
489,4184,4,1191000
490,5431,8,2438000
491,3906,6,913000
492,1425,6,1429000
493,8795,3,2805000
494,71,1,75000
495,368,1,372000
496,1205,2,1209000
497,3052,8,59000
498,298,8,302000
499,3033,9,40000
500,1538,9,1542000
501,89,6,93000
502,1151,7,1155000
503,1175,3,1179000
504,2240,3,2244000
505,5705,4,2712000
506,3787,1,794000
507,799,4,803000
508,4242,4,1249000
509,8209,2,2219000
510,4721,1,1728000
511,4331,2,1338000
512,9511,6,524000
513,2844,3,2848000
514,993,1,997000
515,9433,2,446000
516,2675,9,2679000
517,3479,6,486000
518,8900,7,2910000
519,9003,8,16000
520,2870,2,2874000
521,1387,3,1391000
522,3962,6,969000
523,4182,7,1189000
524,8168,7,2178000
525,8801,9,2811000
526,6606,6,616000
527,687,9,691000
528,811,3,815000
529,4263,5,1270000
530,2319,5,2323000
531,8981,6,2991000
532,3634,5,641000
533,5011,4,2018000
534,4335,9,1342000
535,5176,1,2183000
536,3690,10,697000
537,1434,1,1438000
538,8127,5,2137000
539,1187,10,1191000
540,3238,7,245000
541,2838,6,2842000
542,2215,10,2219000
543,1174,6,1178000
544,1867,1,1871000
545,4299,4,1306000
546,6577,2,587000
547,8356,1,2366000
548,1206,1,1210000
549,5701,5,2708000
550,5043,10,2050000
551,486,7,490000
552,2593,4,2597000
553,7033,1,1043000
554,7190,9,1200000
555,2203,8,2207000
556,4799,10,1806000
557,4404,3,1411000
558,3458,4,465000
559,4129,10,1136000
560,9289,8,302000
561,1960,7,1964000
562,1532,6,1536000
563,102,9,106000
564,2444,9,2448000
565,3746,5,753000
566,3410,4,417000
567,32,4,36000
568,2805,2,2809000
569,3677,7,684000
570,1084,8,1088000
571,2876,4,2880000
572,4403,6,1410000
573,5769,8,2776000
574,5772,10,2779000
575,8959,10,2969000
576,5146,9,2153000
577,308,5,312000
578,8999,9,12000
579,6267,8,277000
580,8440,9,2450000
581,6282,10,292000
582,4910,10,1917000
583,8414,2,2424000
584,385,10,389000
585,6450,1,460000
586,5811,7,2818000
587,8673,9,2683000
588,2172,2,2176000
589,9033,7,46000
590,9723,3,736000
591,5112,6,2119000
592,5729,2,2736000
593,2673,7,2677000
594,8926,2,2936000
595,9463,10,476000
596,3406,7,413000
597,8462,2,2472000
598,6840,7,850000
599,4247,4,1254000
600,7575,4,1585000
601,1331,7,1335000
602,3217,7,224000
603,427,5,431000
604,671,3,675000
605,5680,5,2687000
606,7374,3,1384000
607,5869,1,2876000
608,9382,8,395000
609,9698,6,711000
610,9891,7,904000
611,3833,7,840000
612,6417,1,427000
613,5091,1,2098000
614,4185,8,1192000
615,9042,10,55000
616,233,6,237000
617,2727,9,2731000
618,4557,7,1564000
619,8584,8,2594000
620,7226,1,1236000
621,9797,2,810000
622,1729,6,1733000
623,9116,6,129000
624,2481,5,2485000
625,6639,7,649000
626,1630,2,1634000
627,596,10,600000
628,6529,10,539000
629,4273,3,1280000
630,2340,7,2344000
631,4082,4,1089000
632,2893,4,2897000
633,7067,1,1077000
634,1053,1,1057000
635,73,6,77000
636,1328,1,1332000
637,2760,10,2764000
638,5751,2,2758000
639,959,5,963000
640,1989,9,1993000
641,5068,4,2075000
642,9644,10,657000
643,6688,4,698000
644,9506,2,519000
645,3368,10,375000
646,1081,1,1085000
647,1128,2,1132000
648,8525,2,2535000
649,9750,3,763000
650,4019,3,1026000
651,6291,6,301000
652,5552,2,2559000
653,4953,6,1960000
654,4070,3,1077000
655,6782,1,792000
656,3341,3,348000
657,5797,4,2804000
658,7738,9,1748000
659,1765,3,1769000
660,7835,4,1845000
661,4544,5,1551000
662,4498,7,1505000
663,6286,4,296000
664,3510,4,517000
665,1868,7,1872000
666,7818,2,1828000
667,936,1,940000
668,9843,7,856000
669,7328,10,1338000
670,6571,1,581000
671,1558,1,1562000
672,9415,1,428000
673,6712,1,722000
674,1728,6,1732000
675,3237,10,244000
676,6251,3,261000
677,9976,2,989000
678,4942,8,1949000
679,1181,9,1185000
680,3190,3,197000
681,8281,3,2291000
682,9263,1,276000
683,8371,2,2381000
684,349,7,353000
685,3682,5,689000
686,5679,6,2686000
687,5185,9,2192000
688,7639,10,1649000
689,1155,5,1159000
690,3192,5,199000
691,8830,8,2840000
692,2779,7,2783000
693,972,8,976000
694,846,1,850000
695,3659,6,666000
696,5443,6,2450000
697,3447,9,454000
698,8564,6,2574000
699,3031,9,38000
700,9571,9,584000
701,4976,10,1983000
702,7703,1,1713000
703,8100,7,2110000
704,410,6,414000
705,2296,4,2300000
706,8885,8,2895000
707,5757,5,2764000
708,6506,8,516000
709,7526,9,1536000
710,2217,7,2221000
711,6314,2,324000
712,7063,9,1073000
713,6047,3,57000
714,3977,8,984000
715,5645,1,2652000
716,6822,3,832000
717,3562,8,569000
718,8588,6,2598000
719,8354,7,2364000
720,7309,7,1319000
721,624,9,628000
722,7792,10,1802000
723,2962,8,2966000
724,1708,2,1712000
725,6186,5,196000
726,3943,9,950000
727,2591,8,2595000
728,9297,1,310000
729,372,8,376000
730,1406,1,1410000
731,1186,4,1190000
732,7437,8,1447000
733,9337,5,350000
734,9385,8,398000
735,1395,6,1399000
736,844,5,848000
737,8985,8,2995000
738,7911,5,1921000
739,9955,6,968000
740,7148,7,1158000
741,9230,2,243000
742,5459,2,2466000
743,1771,4,1775000
744,4030,3,1037000
745,8450,3,2460000
746,9746,2,759000
747,8539,6,2549000
748,460,10,464000
749,4801,2,1808000
750,4563,3,1570000
751,5072,3,2079000
752,5657,9,2664000
753,1494,2,1498000
754,6521,5,531000
755,7618,5,1628000
756,8145,2,2155000
757,5383,8,2390000
758,8747,7,2757000
759,745,2,749000
760,4450,9,1457000
761,2133,8,2137000
762,1513,10,1517000
763,4046,9,1053000
764,4573,10,1580000
765,2301,10,2305000
766,4917,5,1924000
767,2523,2,2527000
768,1278,7,1282000
769,8002,2,2012000
770,5604,3,2611000
771,7064,8,1074000
772,4950,4,1957000
773,9122,10,135000
774,1933,6,1937000
775,1739,9,1743000
776,8284,2,2294000
777,3893,1,900000
778,7537,4,1547000
779,3515,6,522000
780,5565,8,2572000
781,75,2,79000
782,5038,5,2045000
783,1429,8,1433000
784,7870,1,1880000
785,639,3,643000
786,7441,2,1451000
787,1045,5,1049000
788,6191,5,201000
789,72,8,76000
790,1443,10,1447000
791,8428,2,2438000
792,5249,9,2256000
793,5871,3,2878000
794,8634,5,2644000
795,5387,6,2394000
796,3975,3,982000
797,3331,8,338000
798,4920,9,1927000
799,7746,7,1756000
800,7145,8,1155000
801,2719,6,2723000
802,2613,1,2617000
803,204,7,208000
804,132,10,136000
805,8630,2,2640000
806,6256,8,266000
807,8946,3,2956000
808,7201,3,1211000
809,9956,4,969000
810,7925,1,1935000
811,394,5,398000
812,9095,3,108000
813,8246,9,2256000
814,9314,9,327000
815,4550,3,1557000
816,5839,5,2846000
817,6344,1,354000
818,9105,5,118000
819,2194,3,2198000
820,2344,10,2348000
821,805,10,809000
822,7364,3,1374000
823,5477,2,2484000
824,4152,10,1159000
825,3316,7,323000
826,2391,1,2395000
827,1195,2,1199000
828,4226,3,1233000
829,3925,6,932000
830,1327,6,1331000
831,9996,6,1009000
832,623,1,627000
833,3688,2,695000
834,9744,10,757000
835,8756,9,2766000
836,9227,9,240000
837,7684,5,1694000
838,5436,7,2443000
839,2863,8,2867000
840,2614,7,2618000
841,1784,9,1788000
842,8277,5,2287000
843,1238,6,1242000
844,4126,1,1133000
845,1604,10,1608000
846,3765,8,772000
847,1516,9,1520000
848,1685,5,1689000
849,3680,4,687000
850,8372,9,2382000
851,3921,6,928000
852,5532,6,2539000
853,9556,3,569000
854,4664,3,1671000
855,9282,1,295000
856,3276,9,283000
857,8204,6,2214000
858,3894,3,901000
859,4959,1,1966000
860,220,5,224000
861,9566,9,579000
862,7690,8,1700000
863,6155,8,165000
864,4613,5,1620000
865,1520,4,1524000
866,6340,2,350000
867,3360,5,367000
868,1080,2,1084000
869,5861,4,2868000
870,3106,3,113000
871,6569,7,579000
872,2490,5,2494000
873,2317,5,2321000
874,5239,4,2246000
875,1167,6,1171000
876,3509,6,516000
877,6990,8,1000000
878,7730,9,1740000
879,5297,5,2304000
880,3667,9,674000
881,6893,9,903000
882,304,1,308000
883,6813,4,823000
884,7869,2,1879000
885,2955,3,2959000
886,5009,8,2016000
887,8812,5,2822000
888,7146,3,1156000
889,7545,7,1555000
890,5596,5,2603000
891,9545,1,558000
892,921,8,925000
893,2149,3,2153000
894,8750,1,2760000
895,1855,4,1859000
896,7360,4,1370000
897,8381,6,2391000
898,2119,9,2123000
899,4632,1,1639000
900,4210,3,1217000
901,4927,5,1934000
902,4233,3,1240000
903,1849,2,1853000
904,2758,3,2762000
905,1757,2,1761000
906,9288,4,301000
907,7082,9,1092000
908,5822,10,2829000
909,7254,10,1264000
910,1321,1,1325000
911,8479,10,2489000
912,5200,10,2207000
913,9321,6,334000
914,4140,1,1147000
915,1836,1,1840000
916,6257,1,267000
917,9621,4,634000
918,4186,6,1193000
919,1480,1,1484000
920,9757,9,770000
921,4177,9,1184000
922,6389,1,399000
923,8113,6,2123000
924,6552,8,562000
925,8977,9,2987000
926,7009,4,1019000
927,4174,9,1181000
928,2553,9,2557000
929,7571,7,1581000
930,6462,8,472000
931,3728,4,735000
932,8405,9,2415000
933,2430,10,2434000
934,1010,5,1014000
935,826,7,830000
936,7646,5,1656000
937,2279,7,2283000
938,2774,8,2778000
939,2584,10,2588000
940,2386,9,2390000
941,3188,10,195000
942,4842,3,1849000
943,6780,6,790000
944,9001,4,14000
945,833,1,837000
946,6615,10,625000
947,6761,10,771000
948,6775,8,785000
949,516,7,520000
950,7492,7,1502000
951,8675,9,2685000
952,1440,3,1444000
953,2936,8,2940000
954,1716,8,1720000
955,374,1,378000
956,9238,10,251000
957,3622,5,629000
958,8734,1,2744000
959,9119,4,132000
960,4935,3,1942000
961,9598,10,611000
962,6556,6,566000
963,2356,8,2360000
964,6477,6,487000
965,7714,9,1724000
966,964,3,968000
967,6955,6,965000
968,5149,8,2156000
969,2261,9,2265000
970,2488,8,2492000
971,7252,4,1262000
972,5081,4,2088000
973,5593,6,2600000
974,9795,6,808000
975,2668,4,2672000
976,8868,10,2878000
977,1361,6,1365000
978,783,3,787000
979,8657,6,2667000
980,5238,5,2245000
981,1691,6,1695000
982,3014,10,21000
983,882,4,886000
984,2004,3,2008000
985,9082,5,95000
986,6035,2,45000
987,5874,2,2881000
988,1213,10,1217000
989,2380,1,2384000
990,3841,3,848000
991,3215,1,222000
992,6587,4,597000
993,1731,2,1735000
994,5603,3,2610000
995,6492,8,502000
996,8069,3,2079000
997,2414,3,2418000
998,8767,3,2777000
999,7701,6,1711000
1000,1785,6,1789000
1001,5947,6,2954000
1002,2242,9,2246000
1003,6253,2,263000
1004,7683,4,1693000
1005,1628,1,1632000
1006,8304,7,2314000
1007,879,10,883000
1008,9500,1,513000
1009,1465,8,1469000
1010,4022,5,1029000
1011,5670,1,2677000
1012,7685,10,1695000
1013,1803,8,1807000
1014,5581,1,2588000
1015,4228,1,1235000
1016,9471,7,484000
1017,9275,9,288000
1018,9325,10,338000
1019,2058,3,2062000
1020,6953,5,963000
1021,7039,3,1049000
1022,352,10,356000
1023,3824,9,831000
1024,1649,6,1653000
1025,6088,7,98000
1026,3239,10,246000
1027,7516,2,1526000
1028,3163,1,170000
1029,4855,9,1862000
1030,2116,1,2120000
1031,9458,6,471000
1032,1311,8,1315000
1033,3171,7,178000
1034,1626,2,1630000
1035,8633,1,2643000
1036,6938,1,948000
1037,484,10,488000
1038,9928,6,941000
1039,3744,10,751000
1040,9432,9,445000
1041,9089,2,102000
1042,5563,2,2570000
1043,7311,3,1321000
1044,2643,4,2647000
1045,2489,4,2493000
1046,2074,3,2078000
1047,9878,2,891000
1048,4841,7,1848000
1049,6698,2,708000
1050,2227,9,2231000
1051,6760,2,770000
1052,2586,9,2590000
1053,5327,10,2334000
1054,8395,4,2405000
1055,8080,9,2090000
1056,3085,2,92000
1057,5914,10,2921000
1058,995,4,999000
1059,1679,5,1683000
1060,6307,7,317000
1061,2702,7,2706000
1062,5435,3,2442000
1063,9016,10,29000
1064,5848,7,2855000
1065,6949,8,959000
1066,3652,9,659000
1067,227,9,231000
1068,3600,7,607000
1069,6335,7,345000
1070,7613,8,1623000
1071,6097,4,107000
1072,2213,5,2217000
1073,3047,9,54000
1074,403,10,407000
1075,2589,3,2593000
1076,6883,4,893000
1077,574,3,578000
1078,7530,10,1540000
1079,3087,6,94000
1080,912,7,916000
1081,7262,7,1272000
1082,3124,5,131000
1083,3772,10,779000
1084,1302,9,1306000
1085,4816,3,1823000
1086,7086,8,1096000
1087,7857,4,1867000
1088,8236,2,2246000
1089,6008,8,18000
1090,4260,1,1267000
1091,2911,2,2915000
1092,6071,1,81000
1093,5232,9,2239000
1094,9973,4,986000
1095,5316,1,2323000
1096,4631,1,1638000
1097,5418,6,2425000
1098,4838,9,1845000
1099,7867,7,1877000
1100,5895,6,2902000
1101,2305,5,2309000
1102,8177,7,2187000
1103,177,4,181000
1104,7001,6,1011000
1105,3708,4,715000
1106,1476,2,1480000
1107,1380,5,1384000
1108,9032,8,45000
1109,9858,3,871000
1110,5272,6,2279000
1111,1687,7,1691000
1112,2765,10,2769000
1113,6252,9,262000
1114,3369,9,376000
1115,3704,5,711000
1116,8048,4,2058000
1117,9663,8,676000
1118,3866,10,873000
1119,4175,5,1182000
1120,3451,8,458000
1121,6710,7,720000
1122,500,4,504000
1123,2399,2,2403000
1124,3141,7,148000
1125,2827,6,2831000
1126,4793,8,1800000
1127,788,3,792000
1128,3044,6,51000
1129,9808,8,821000
1130,5183,6,2190000
1131,2608,8,2612000
1132,9738,6,751000
1133,5958,3,2965000
1134,8392,8,2402000
1135,8598,6,2608000
1136,2030,9,2034000
1137,2170,10,2174000
1138,4562,7,1569000
1139,3756,10,763000
1140,2080,1,2084000
1141,2953,1,2957000
1142,2529,6,2533000
1143,2023,6,2027000
1144,659,3,663000
1145,3658,3,665000
1146,6262,5,272000
1147,5021,2,2028000
1148,5526,7,2533000
1149,2251,10,2255000
1150,83,8,87000
1151,3280,1,287000
1152,6103,8,113000
1153,771,8,775000
1154,1362,1,1366000
1155,6952,2,962000
1156,4690,10,1697000
1157,4049,9,1056000
1158,8150,6,2160000
1159,2099,5,2103000
1160,6020,7,30000
1161,7615,8,1625000
1162,5775,2,2782000
1163,4057,8,1064000
1164,8313,6,2323000
1165,2199,9,2203000
1166,7947,7,1957000
1167,9465,3,478000
1168,8305,2,2315000
1169,7220,10,1230000
1170,127,6,131000
1171,6339,5,349000
1172,115,5,119000
1173,5103,9,2110000
1174,1124,9,1128000
1175,446,4,450000
1176,9855,3,868000
1177,8565,3,2575000
1178,9677,9,690000
1179,7975,4,1985000
1180,885,4,889000
1181,2796,8,2800000
1182,896,10,900000
1183,8054,2,2064000
1184,6655,6,665000
1185,1863,2,1867000
1186,1159,4,1163000
1187,7954,3,1964000
1188,1773,5,1777000
1189,3094,1,101000
1190,1217,8,1221000
1191,9977,6,990000
1192,375,1,379000
1193,84,10,88000
1194,9751,6,764000
1195,4919,9,1926000
1196,1895,5,1899000
1197,5578,2,2585000
1198,508,4,512000
1199,2308,7,2312000
1200,6607,5,617000
1201,6031,10,41000
1202,5022,2,2029000
1203,4956,3,1963000
1204,1246,1,1250000
1205,4940,9,1947000
1206,1669,10,1673000
1207,6658,9,668000
1208,1233,6,1237000
1209,9889,8,902000
1210,9720,1,733000
1211,2832,4,2836000
1212,4234,5,1241000
1213,8056,1,2066000
1214,5898,4,2905000
1215,8340,7,2350000
1216,8661,5,2671000
1217,1821,1,1825000
1218,7968,9,1978000
1219,2854,8,2858000
1220,1529,2,1533000
1221,4397,2,1404000
1222,7994,5,2004000
1223,2926,2,2930000
1224,6201,3,211000
1225,7143,8,1153000
1226,4377,1,1384000
1227,5379,6,2386000
1228,7481,9,1491000
1229,2416,2,2420000
1230,3516,8,523000
1231,326,8,330000
1232,1725,1,1729000
1233,1137,10,1141000
1234,9439,2,452000
1235,9212,3,225000
1236,6409,6,419000
1237,1414,10,1418000
1238,7996,9,2006000
1239,3016,3,23000
1240,9281,1,294000
1241,2778,1,2782000
1242,757,10,761000
1243,7392,6,1402000
1244,9171,4,184000
1245,7507,4,1517000
1246,399,10,403000
1247,2283,6,2287000
1248,1917,4,1921000
1249,1417,10,1421000
1250,9076,7,89000
1251,9881,4,894000
1252,8003,6,2013000
1253,5793,4,2800000
1254,9929,6,942000
1255,5569,6,2576000
1256,1943,1,1947000
1257,4356,9,1363000
1258,962,1,966000
1259,4246,2,1253000
1260,2751,2,2755000
1261,5313,5,2320000
1262,6402,9,412000
1263,9460,10,473000
1264,3378,5,385000
1265,4597,8,1604000
1266,311,7,315000
1267,7076,4,1086000
1268,8674,3,2684000
1269,1563,4,1567000
1270,5167,4,2174000
1271,2280,3,2284000
1272,9787,8,800000
1273,6105,8,115000
1274,3012,8,19000
1275,7200,8,1210000
1276,5438,6,2445000
1277,4425,4,1432000
1278,7074,8,1084000
1279,5219,9,2226000
1280,7509,8,1519000
1281,3496,8,503000
1282,4078,6,1085000
1283,6219,10,229000
1284,2192,5,2196000
1285,603,6,607000
1286,7514,2,1524000
1287,3324,4,331000
1288,9434,3,447000
1289,5521,3,2528000
1290,4048,10,1055000
1291,3345,8,352000
1292,4167,3,1174000
1293,1590,3,1594000
1294,9450,3,463000
1295,6690,2,700000
1296,3808,1,815000
1297,3387,8,394000
