ID_KH,ID_SP,BINHLUAN,SCORERATING,NGAYBINHLUAN
122,5800,"Nhựa quá tệ, bị giòn gãy đứt",4,11/11/2020 16:47
123,6858,xài rất đã mà ko bị kích ứng da,3,9/12/2021 2:32
124,2656,Giao hàng nhanh,2,3/24/2021 17:18
126,7123,Đắt chứ không giảm,5,11/29/2020 10:24
127,3937,sử dụng thường xuyên có giảm mụn đầu đen,5,12/18/2020 9:51
128,1923,sản phẩm tuyệt vời.sản phẩm tuyệt vời.,1,6/6/2021 3:00
129,5686,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",3,4/1/2020 12:46
130,5369,Tot và rẻ lam,5,1/30/2020 8:05
132,773,"chất liệu, sản phẩm như hình. được",4,4/17/2021 14:39
133,9851,mua nhiều lần của các thương hiệu khác,4,12/23/2021 12:55
134,9685,hay bị lẫn và hạt hư.,1,9/5/2021 9:40
135,4595,xe bằng sắt để chịu lực tốt,2,8/12/2021 22:24
136,698,xài xong thích lắm. da mịn hơn hẳn.,5,10/20/2020 13:48
137,811,sản phẩm tuyệt vời.,5,9/24/2020 22:17
138,5156,mua nhiều lần của các thương hiệu khác,1,6/9/2021 10:55
140,6580,nhấc nồi nóng ko an toàn,3,9/4/2020 1:43
141,4766,Thà k gập còn hơn.,2,1/19/2021 2:09
142,3432,chất kem mịn,4,6/5/2020 19:36
143,8626,hay bị lẫn và hạt hư.,2,4/28/2020 18:50
144,8506,sản phẩm tuyệt vời.sản phẩm tuyệt vời.,4,8/14/2021 16:30
145,1739,xài xong thích lắm. da mịn hơn hẳn.,2,9/29/2020 12:28
146,8568,chất kem mịn,5,2/9/2021 23:08
147,2852,hay bị lẫn và hạt hư.,4,8/11/2021 19:49
148,4244,xe bằng sắt để chịu lực tốt,3,4/4/2020 17:16
149,1279,"Ăn khá ngon ,độ mặn vừa phải ",2,9/30/2020 20:04
150,6627,sản phẩm tuyệt vời.,4,7/16/2021 20:25
151,5336,Giao hàng nhanh,1,9/20/2021 12:34
152,2620,nhìn dễ thương,3,10/13/2020 17:38
154,8425,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",1,12/2/2020 5:07
155,9583,hay bị lẫn và hạt hư.,5,2/9/2020 0:58
157,9217,hạt trung bình chứ ko to,1,10/6/2021 18:17
158,20,mặt đáy và trục bánh,3,5/21/2020 14:21
159,9383,Tot và rẻ lam,2,12/11/2021 13:04
160,1104,đóng gói kĩ,4,1/20/2020 3:07
161,6859,Giao hàng nhanh,5,7/1/2021 11:21
162,4367,khung inox mỏng ko chở được hàng nặng,4,8/27/2020 0:59
164,9552,xài xong thích lắm. da mịn hơn hẳn.,4,3/8/2020 8:59
167,9690,nói chung là ok,4,3/23/2020 11:12
169,5111,sản phẩm tuyệt vời.sản phẩm tuyệt vời.,5,7/12/2020 7:22
173,8457,"Ăn khá ngon ,độ mặn vừa phải ",5,11/24/2020 11:11
174,6725,Hình ảnh là 2 lúc nhận 1 hộp điều à.,4,8/10/2021 8:49
175,6639,"ăn không bị mặn, ",3,1/10/2021 10:19
176,998,nhấc nồi nóng ko an toàn,1,11/29/2020 15:46
177,4236,hết sẽ ủng hộ tiki nữa,5,2/27/2021 16:11
178,748,Hình ảnh là 2 lúc nhận 1 hộp điều à.,5,9/18/2020 6:42
179,6650,nhìn dễ thương,2,9/20/2021 8:42
181,5030,"chất liệu, sản phẩm như hình. được",4,8/29/2021 5:52
182,577,khung inox mỏng ko chở được hàng nặng,1,4/12/2020 7:35
183,9171,xe bằng sắt để chịu lực tốt,1,7/11/2020 6:35
184,3406,nhìn dễ thương,2,7/16/2021 4:03
185,2780,xe bằng sắt để chịu lực tốt,2,6/8/2021 6:41
186,3047,hạt trung bình chứ ko to,1,6/12/2021 21:41
187,2884,đóng gói kĩ,3,11/23/2021 19:16
188,4869,xài rất đã mà ko bị kích ứng da,1,7/1/2020 3:12
189,5652,"Nhựa quá tệ, bị giòn gãy đứt",1,8/16/2020 13:02
190,1421,xe bằng sắt để chịu lực tốt,1,6/5/2020 18:54
191,4237,cảm giác dưỡng ẩm da tốt,1,2/21/2020 23:59
192,9988,mình dùng bông lau hoặc lấy tay vỗ lên mặt,2,1/4/2021 9:45
193,9378,"Nhựa quá tệ, bị giòn gãy đứt",4,1/15/2021 0:09
194,9977,cảm giác dưỡng ẩm da tốt,3,1/7/2020 17:43
196,4020,xe bằng sắt để chịu lực tốt,1,12/20/2020 11:08
197,7402,"sẽ ủng hộ tiki nữa,san pham tot",5,12/10/2020 6:15
198,1519,chất kem mịn,5,3/1/2021 20:59
199,6139,sản phẩm tuyệt vời.,4,12/14/2021 11:20
200,9462,chất kem mịn,5,5/13/2021 18:42
202,3544,nhìn dễ thương,1,9/27/2020 3:00
203,7393,"ko dùng nhấc bếp dc, trơn, ",5,11/16/2021 11:58
204,6066,"ko dùng nhấc bếp dc, trơn, ",5,5/23/2020 1:07
206,6632,"Dùng ổn, k bị thấm nước",1,5/22/2021 21:28
207,9787,sử dụng thường xuyên có giảm mụn đầu đen,5,10/21/2020 15:28
209,6294,nhấc nồi nóng ko an toàn,4,1/27/2021 21:17
210,6075,"ko dùng nhấc bếp dc, trơn, ",3,11/14/2020 2:06
211,1632,khung inox mỏng ko chở được hàng nặng,4,1/10/2021 19:18
212,4301,sử dụng thường xuyên có giảm mụn đầu đen,2,6/23/2020 17:02
213,2055,mặt đáy và trục bánh,1,12/10/2020 3:36
214,2498,ko đủ cách nhiệt,4,8/18/2021 15:09
217,9818,Bánh xe nhựa mỏng chứ ko phải cao su,5,6/9/2021 19:31
218,9830,ko đủ cách nhiệt,4,1/22/2021 13:41
219,9373,hay bị lẫn và hạt hư.,1,12/18/2020 18:24
220,6440,cảm giác dưỡng ẩm da tốt,3,6/8/2021 13:44
221,5356,"ko dùng nhấc bếp dc, trơn, ",3,6/1/2020 9:42
223,1150,chất kem mịn,3,3/16/2021 11:59
224,909,sau khi sử dụng da có sáng hơn 1 tí,4,12/10/2021 17:43
225,8648,xài xong thích lắm. da mịn hơn hẳn.,2,11/30/2020 2:59
226,4221,nhìn dễ thương,5,2/10/2020 18:45
227,6219,"sẽ ủng hộ tiki nữa,san pham tot",5,1/6/2021 1:26
228,3926,khung inox mỏng ko chở được hàng nặng,3,5/6/2020 10:53
229,6989,mình dùng bông lau hoặc lấy tay vỗ lên mặt,2,5/11/2021 10:12
230,5519,sản phẩm tuyệt vời.,3,10/1/2020 17:27
231,7334,khung inox mỏng ko chở được hàng nặng,3,2/25/2020 21:08
232,6774,Đắt chứ không giảm,2,7/24/2020 23:48
233,5179,"sẽ ủng hộ tiki nữa,san pham tot",5,2/18/2021 7:51
234,2172,Thà k gập còn hơn.,4,1/8/2021 2:12
235,9338,rẻ hơn mua ở cửa hàng điện máy,4,4/30/2020 14:35
236,2678,cảm giác dưỡng ẩm da tốt,3,10/4/2021 21:05
237,3979,sau khi sử dụng da có sáng hơn 1 tí,5,11/7/2020 23:43
238,1717,đóng gói kĩ,4,10/7/2020 2:37
241,9630,xe bằng sắt để chịu lực tốt,2,9/21/2021 14:47
242,2567,"giao hàng nhanh, bảo hành chính hãng",1,7/15/2020 15:44
243,3740,hạt trung bình chứ ko to,5,5/17/2020 6:45
244,3970,"Dùng ổn, k bị thấm nước",5,2/18/2020 23:09
245,6277,"sẽ ủng hộ tiki nữa,san pham tot",4,4/8/2020 18:26
246,2281,Thà k gập còn hơn.,4,3/12/2021 17:44
247,8265,rẻ hơn mua ở cửa hàng điện máy,4,4/17/2020 12:47
248,881,rẻ hơn mua ở cửa hàng điện máy,3,10/27/2021 6:16
249,2776,đóng gói kĩ,2,9/12/2020 5:12
250,3627,Đắt chứ không giảm,2,4/6/2020 16:50
251,5934,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",1,10/30/2020 15:58
252,6679,sử dụng thường xuyên có giảm mụn đầu đen,1,12/24/2021 15:59
253,5465,sử dụng thường xuyên có giảm mụn đầu đen,3,4/1/2021 9:33
255,7133,"Dùng ổn, k bị thấm nước",2,12/13/2021 22:15
256,6463,"Đóng gói chắc chắn, date xa",4,8/6/2021 21:02
257,407,sản phẩm tuyệt vời.,5,9/25/2020 2:52
258,5137,sản phẩm tuyệt vời.,3,9/3/2020 5:56
259,3484,mình dùng bông lau hoặc lấy tay vỗ lên mặt,2,3/16/2021 18:27
260,2571,đóng gói kĩ,4,10/14/2020 17:06
262,8186,"giao hàng nhanh, bảo hành chính hãng",5,6/17/2021 20:02
263,8463,"sẽ ủng hộ tiki nữa,san pham tot",2,7/10/2020 11:44
264,1442,sản phẩm tuyệt vời.,3,11/20/2020 14:51
266,9038,"sẽ ủng hộ tiki nữa,san pham tot",4,1/14/2020 2:27
267,737,nhấc nồi nóng ko an toàn,5,4/8/2020 15:45
268,568,"Sản phẩm sử dụng tốt, mẫu mã đẹp",4,1/21/2021 0:11
270,3960,"Dùng ổn, k bị thấm nước",3,8/16/2020 1:50
271,6488,hay bị lẫn và hạt hư.,4,12/3/2021 4:42
272,3031,nói chung là ok,3,12/31/2020 9:13
273,4153,"ăn không bị mặn, ",1,5/27/2021 4:35
274,8838,"ko dùng nhấc bếp dc, trơn, ",4,3/7/2021 6:57
275,1121,hay bị lẫn và hạt hư.,3,12/13/2020 17:33
277,8484,xài xong thích lắm. da mịn hơn hẳn.,3,5/13/2021 17:35
278,9915,"Nhựa quá tệ, bị giòn gãy đứt",1,6/24/2020 1:09
279,1169,sản phẩm k có tem hãng dán,5,2/2/2021 19:21
280,1825,khung inox mỏng ko chở được hàng nặng,5,8/4/2021 5:07
281,9003,sản phẩm tuyệt vời.,2,9/19/2021 11:54
282,3871,"ăn không bị mặn, ",1,8/24/2021 17:46
283,2561,"ko dùng nhấc bếp dc, trơn, ",1,11/9/2020 0:02
284,4877,chất kem mịn,2,8/17/2020 12:26
285,8055,rẻ hơn mua ở cửa hàng điện máy,1,2/5/2020 0:40
286,4716,Tot và rẻ lam,3,5/24/2020 11:28
287,144,sản phẩm k có tem hãng dán,2,9/28/2020 8:22
288,6841,"giao hàng nhanh, bảo hành chính hãng",2,4/27/2021 10:45
289,2313,sau khi sử dụng da có sáng hơn 1 tí,1,3/15/2020 3:51
290,7364,sản phẩm tuyệt vời.,2,1/27/2020 11:10
291,405,mình dùng bông lau hoặc lấy tay vỗ lên mặt,2,10/19/2020 18:24
292,8656,"Chất vải may xấu, đường may thì cẩu thả.",2,3/11/2020 6:15
293,1792,"Đóng gói chắc chắn, date xa",4,3/31/2020 9:33
294,6648,"chất liệu, sản phẩm như hình. được",1,6/7/2021 19:57
296,3213,"Đóng gói chắc chắn, date xa",5,5/20/2020 6:55
298,2035,"Ăn khá ngon ,độ mặn vừa phải ",4,10/3/2021 16:48
299,7066,"giao hàng nhanh, bảo hành chính hãng",4,12/31/2020 21:21
300,7022,Đắt chứ không giảm,5,10/30/2020 18:02
301,9593,xài xong thích lắm. da mịn hơn hẳn.,1,3/26/2020 13:32
303,9948,hết sẽ ủng hộ tiki nữa,2,6/4/2020 16:31
305,423,"Dùng ổn, k bị thấm nước",3,10/14/2020 7:01
306,8388,Thà k gập còn hơn.,2,3/21/2021 20:36
307,2012,mình dùng bông lau hoặc lấy tay vỗ lên mặt,3,6/12/2021 8:03
308,2406,chất kem mịn,1,7/24/2021 1:53
309,8948,sau khi sử dụng da có sáng hơn 1 tí,5,1/17/2021 15:44
310,7812,"Dùng ổn, k bị thấm nước",2,7/12/2021 8:58
311,4030,nhìn dễ thương,1,7/26/2020 10:01
312,394,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",4,11/30/2020 22:21
313,3288,"sẽ ủng hộ tiki nữa,san pham tot",2,11/1/2020 7:38
314,1795,"Đóng gói chắc chắn, date xa",5,10/29/2020 9:45
315,7780,Bánh xe nhựa mỏng chứ ko phải cao su,5,12/24/2021 1:25
316,7165,sử dụng thường xuyên có giảm mụn đầu đen,1,8/3/2021 20:04
317,2555,Thà k gập còn hơn.,1,8/1/2020 2:17
318,289,sản phẩm tuyệt vời.sản phẩm tuyệt vời.,3,2/25/2021 12:33
319,443,nhìn dễ thương,2,1/6/2020 20:17
320,8178,mình dùng bông lau hoặc lấy tay vỗ lên mặt,1,2/5/2020 15:43
321,2802,hạt trung bình chứ ko to,5,12/10/2020 2:08
322,2758,mình dùng bông lau hoặc lấy tay vỗ lên mặt,2,12/12/2020 18:17
323,4492,sử dụng thường xuyên có giảm mụn đầu đen,5,3/14/2021 1:23
324,6842,khung inox mỏng ko chở được hàng nặng,5,11/2/2021 17:00
325,1620,"ăn không bị mặn, ",3,4/26/2021 19:35
327,7445,đóng gói kĩ,1,11/11/2021 4:48
328,5105,nói chung là ok,5,10/17/2020 15:15
329,4989,"Sản phẩm sử dụng tốt, mẫu mã đẹp",5,10/29/2021 3:56
330,9998,"chất liệu, sản phẩm như hình. được",5,7/26/2020 2:14
333,7318,"Dùng ổn, k bị thấm nước",5,12/9/2021 19:42
334,145,"ăn không bị mặn, ",1,10/6/2021 22:16
335,2213,nhấc nồi nóng ko an toàn,4,6/25/2021 14:52
336,6401,sản phẩm tuyệt vời.,1,3/2/2021 11:54
337,7560,chất kem mịn,1,5/11/2020 11:56
339,6533,Hình ảnh là 2 lúc nhận 1 hộp điều à.,1,10/29/2021 18:06
340,2009,"Sản phẩm sử dụng tốt, mẫu mã đẹp",4,9/21/2020 20:54
341,2046,"Đóng gói chắc chắn, date xa",5,1/25/2021 13:32
342,4597,Hình ảnh là 2 lúc nhận 1 hộp điều à.,4,8/14/2021 5:30
343,5315,"Sản phẩm sử dụng tốt, mẫu mã đẹp",2,2/12/2021 15:38
344,8967,"ko dùng nhấc bếp dc, trơn, ",1,11/30/2020 10:51
345,8748,sản phẩm k có tem hãng dán,4,10/18/2020 11:11
346,1842,Thà k gập còn hơn.,4,4/5/2021 20:49
347,6515,khung inox mỏng ko chở được hàng nặng,5,11/29/2021 17:47
348,1544,hạt trung bình chứ ko to,3,4/1/2021 4:59
349,1540,Đắt chứ không giảm,3,3/17/2021 16:14
350,4839,chất kem mịn,4,9/5/2020 17:20
352,863,"chất liệu, sản phẩm như hình. được",5,5/6/2020 5:44
353,6757,xài rất đã mà ko bị kích ứng da,4,6/27/2020 7:28
354,9990,chất kem mịn,1,10/12/2021 5:57
355,648,mình dùng bông lau hoặc lấy tay vỗ lên mặt,1,3/31/2020 8:06
356,199,sản phẩm k có tem hãng dán,4,2/11/2020 2:53
357,3098,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",5,4/3/2020 4:31
358,1549,cảm giác dưỡng ẩm da tốt,5,4/10/2021 2:49
359,3248,xài rất đã mà ko bị kích ứng da,2,11/30/2020 20:07
360,8631,"chất liệu, sản phẩm như hình. được",1,4/1/2021 21:57
361,8642,mình dùng bông lau hoặc lấy tay vỗ lên mặt,3,1/25/2020 22:48
362,3576,xài xong thích lắm. da mịn hơn hẳn.,3,2/10/2021 0:40
363,1852,"Ăn khá ngon ,độ mặn vừa phải ",2,7/13/2020 21:15
364,1515,dàn bằng nhôm không rỉ sét,4,11/12/2020 6:48
365,5924,hạt trung bình chứ ko to,2,7/8/2020 4:15
366,4816,"ko dùng nhấc bếp dc, trơn, ",3,8/13/2020 23:49
367,9720,ko đủ cách nhiệt,2,9/28/2021 8:51
368,2743,"ko dùng nhấc bếp dc, trơn, ",5,1/10/2020 13:35
369,9282,Đắt chứ không giảm,3,3/1/2021 22:48
370,8371,mua nhiều lần của các thương hiệu khác,4,12/29/2021 15:43
371,6624,"Dùng ổn, k bị thấm nước",2,1/31/2020 3:24
373,5949,Hình ảnh là 2 lúc nhận 1 hộp điều à.,3,1/15/2021 23:20
374,4994,Thà k gập còn hơn.,1,4/26/2020 17:43
375,6829,sản phẩm tuyệt vời.,5,3/6/2020 6:43
376,5327,mình dùng bông lau hoặc lấy tay vỗ lên mặt,4,11/26/2020 15:18
378,5472,xe bằng sắt để chịu lực tốt,2,9/10/2021 22:55
379,6021,"giao hàng nhanh, bảo hành chính hãng",5,10/20/2021 22:18
381,492,"giao hàng nhanh, bảo hành chính hãng",1,8/9/2020 4:52
382,5609,"ko dùng nhấc bếp dc, trơn, ",3,1/30/2020 21:05
385,2447,nhấc nồi nóng ko an toàn,5,3/21/2020 14:20
386,5256,Giao hàng nhanh,1,3/16/2020 21:25
387,4135,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",5,10/22/2021 18:15
388,8163,rẻ hơn mua ở cửa hàng điện máy,2,4/28/2021 19:28
389,3380,Giao hàng nhanh,1,3/29/2020 15:19
390,6894,mình dùng bông lau hoặc lấy tay vỗ lên mặt,5,1/21/2021 16:22
393,4142,dàn bằng nhôm không rỉ sét,5,7/27/2021 15:57
395,326,Thà k gập còn hơn.,1,2/20/2020 0:02
396,1157,sau khi sử dụng da có sáng hơn 1 tí,1,1/26/2020 23:29
397,2214,đóng gói kĩ,3,10/14/2021 8:49
398,5459,"Dùng ổn, k bị thấm nước",3,4/16/2020 3:29
401,4603,Đắt chứ không giảm,2,12/20/2021 3:37
402,636,"chất liệu, sản phẩm như hình. được",3,8/24/2020 23:44
403,2925,khung inox mỏng ko chở được hàng nặng,5,9/8/2021 15:15
404,9598,sản phẩm k có tem hãng dán,1,5/5/2020 19:26
406,8992,sản phẩm tuyệt vời.,5,6/24/2020 19:36
407,4890,mặt đáy và trục bánh,2,3/23/2021 22:24
409,4031,sản phẩm tuyệt vời.sản phẩm tuyệt vời.,4,12/15/2021 6:25
410,6473,hết sẽ ủng hộ tiki nữa,3,8/14/2021 17:22
411,366,hết sẽ ủng hộ tiki nữa,4,5/22/2020 3:26
413,7979,rẻ hơn mua ở cửa hàng điện máy,4,6/25/2020 4:31
414,2110,Thà k gập còn hơn.,5,10/23/2021 8:41
416,1555,"ăn không bị mặn, ",3,9/11/2020 17:08
417,1377,xài xong thích lắm. da mịn hơn hẳn.,1,12/18/2021 21:11
418,4106,mua nhiều lần của các thương hiệu khác,4,12/30/2021 17:35
421,4391,hết sẽ ủng hộ tiki nữa,2,8/4/2020 13:42
422,5155,đóng gói kĩ,4,9/24/2020 3:21
423,1726,"sẽ ủng hộ tiki nữa,san pham tot",3,1/15/2021 7:33
424,8854,sản phẩm tuyệt vời.,4,3/5/2021 7:29
425,5596,Đắt chứ không giảm,2,1/17/2020 19:28
426,4494,sử dụng thường xuyên có giảm mụn đầu đen,3,11/4/2021 11:55
427,7601,Tot và rẻ lam,4,2/13/2021 21:22
428,6766,nói chung là ok,2,8/14/2020 19:13
429,4515,"sẽ ủng hộ tiki nữa,san pham tot",4,6/4/2020 15:29
430,403,"ăn không bị mặn, ",4,6/15/2021 14:06
432,8001,"giao hàng nhanh, bảo hành chính hãng",5,3/28/2021 2:34
434,5904,dàn bằng nhôm không rỉ sét,5,12/11/2021 9:40
435,2151,Tot và rẻ lam,3,7/2/2020 8:06
438,8149,xài rất đã mà ko bị kích ứng da,4,5/2/2020 4:33
440,383,"Dùng ổn, k bị thấm nước",2,1/12/2020 3:01
441,5397,"Đóng gói chắc chắn, date xa",3,10/19/2020 10:10
443,6204,"Ăn khá ngon ,độ mặn vừa phải ",3,3/15/2021 2:01
444,2521,rẻ hơn mua ở cửa hàng điện máy,2,10/16/2020 4:24
445,2537,mua nhiều lần của các thương hiệu khác,3,10/15/2020 7:41
446,6826,hết sẽ ủng hộ tiki nữa,1,9/30/2021 13:17
447,1740,xe bằng sắt để chịu lực tốt,3,5/13/2020 6:49
448,8445,"ko dùng nhấc bếp dc, trơn, ",3,3/3/2020 4:59
451,9185,sản phẩm tuyệt vời.,5,5/21/2020 3:36
452,9767,chất kem mịn,3,8/16/2021 18:05
453,3373,"Dùng ổn, k bị thấm nước",4,9/23/2021 21:49
454,4423,chất kem mịn,4,5/12/2020 14:12
455,4626,sản phẩm k có tem hãng dán,5,12/28/2020 9:50
456,1601,xài xong thích lắm. da mịn hơn hẳn.,1,10/12/2021 15:12
457,1649,dàn bằng nhôm không rỉ sét,4,9/29/2020 21:44
458,9638,cảm giác dưỡng ẩm da tốt,1,3/12/2020 10:38
459,3840,hay bị lẫn và hạt hư.,2,10/9/2021 13:26
460,5251,"Sản phẩm sử dụng tốt, mẫu mã đẹp",1,5/11/2020 22:46
461,3187,"Chất vải may xấu, đường may thì cẩu thả.",2,10/16/2021 3:06
