ID_PO,ID_SP,MABACKORDER,SOLUONG,DONGIA
224,8726,290571254,7,2736000
225,6248,461345079,6,258000
226,8162,795394825,5,2172000
227,6142,374344333,8,152000
228,8441,722824046,9,2451000
229,8901,597671200,3,2911000
230,4463,320044197,9,1470000
231,8365,278187662,10,2375000
232,5479,649855790,7,2486000
233,2436,828137307,7,2440000
234,5983,721370084,8,2990000
235,6428,464611280,6,438000
236,1754,684030628,3,1758000
237,6168,764429323,9,178000
238,617,859735470,8,621000
239,3574,970309490,8,581000
240,9164,408592148,9,177000
241,1329,NULL      ,8,1333000
242,9217,546325687,3,230000
243,9502,771740857,1,515000
244,3247,245897304,6,254000
245,6956,26999242,3,966000
246,1522,861264228,7,1526000
247,1869,637550897,9,1873000
248,9736,442784997,4,749000
249,1021,626066726,5,1025000
250,643,832638281,4,647000
251,6411,NULL      ,7,421000
252,889,515576214,1,893000
253,4189,176389274,5,1196000
254,4120,424461932,3,1127000
255,6733,78940498,9,743000
256,4445,417437074,8,1452000
257,1109,736051083,7,1113000
258,6302,156529361,6,312000
259,4892,269595028,3,1899000
260,7448,3681109,5,1458000
261,5326,985967063,7,2333000
262,2975,679628792,10,2979000
263,6087,882296300,8,97000
264,489,232763796,8,493000
265,3017,223761177,4,24000
266,2510,328794182,8,2514000
267,4803,467072130,8,1810000
268,1056,417949141,6,1060000
269,4055,458620459,8,1062000
270,1420,65264807,5,1424000
271,4558,724843840,1,1565000
272,3219,865757123,4,226000
273,2793,17224111,3,2797000
274,9557,697371405,9,570000
275,7281,824825075,6,1291000
276,8031,419679130,8,2041000
277,8484,973882361,4,2494000
278,5891,472665578,1,2898000
279,107,750424183,6,111000
280,6740,433207707,7,750000
281,9543,317783213,1,556000
282,9975,540581314,9,988000
283,2666,780073583,2,2670000
284,8683,248256167,7,2693000
285,1898,716477286,7,1902000
286,1069,707928691,9,1073000
287,6296,NULL      ,9,306000
288,424,467219467,9,428000
289,9266,955883218,2,279000
290,2415,980022135,3,2419000
291,5833,321212198,10,2840000
292,7586,201040237,9,1596000
293,2848,726675472,7,2852000
294,4570,275709607,5,1577000
295,6753,101318440,2,763000
296,9159,408564913,7,172000
297,6377,168546530,10,387000
298,9384,598269918,3,397000
299,6530,747968422,8,540000
300,8682,411115070,5,2692000
301,5733,695557680,9,2740000
302,3686,780372146,8,693000
303,3983,309113609,8,990000
304,4191,834483158,4,1198000
305,1875,136831238,3,1879000
306,8744,771620821,1,2754000
307,1929,832539788,6,1933000
308,1946,167830324,5,1950000
309,8853,912663524,10,2863000
310,4628,304848866,9,1635000
311,6599,354192397,4,609000
312,5457,474116689,2,2464000
313,3511,527878208,9,518000
314,4432,385054397,3,1439000
315,8698,780803905,7,2708000
316,8823,780358678,10,2833000
317,9035,386013441,8,48000
318,9999,71985108,7,1012000
319,7609,722803987,9,1619000
320,6974,633489610,2,984000
321,154,248001713,1,158000
322,5172,96469893,3,2179000
323,8731,948721165,5,2741000
324,6359,510581183,4,369000
325,1651,281604262,1,1655000
326,2847,729317843,5,2851000
327,1340,253920925,4,1344000
328,8838,411012095,2,2848000
329,6999,114783657,1,1009000
330,9894,255009813,5,907000
331,7462,598735910,2,1472000
332,4642,640520286,8,1649000
333,3782,880492124,9,789000
334,253,155830190,9,257000
335,5372,472796485,3,2379000
336,1421,641847504,10,1425000
337,1592,130671202,5,1596000
338,9038,938750456,5,51000
339,6835,306535748,6,845000
340,6768,524729866,2,778000
341,5591,769790396,1,2598000
342,2617,759670131,9,2621000
343,7,575891005,8,11000
344,4000,909057346,3,1007000
345,1914,901480811,8,1918000
346,2417,751924508,6,2421000
347,6802,979995443,6,812000
348,4889,391809096,10,1896000
349,6757,541616658,2,767000
350,1176,78525514,9,1180000
351,7168,272758311,10,1178000
352,6104,821373311,2,114000
353,5608,120501138,8,2615000
354,5931,899651507,7,2938000
355,1639,261208147,9,1643000
356,6318,872122647,8,328000
357,9493,312046572,6,506000
358,4238,17621226,10,1245000
359,4326,365115850,8,1333000
360,3001,667412774,3,8000
361,5742,676479863,6,2749000
362,5807,999698145,6,2814000
363,8351,699623391,6,2361000
364,2707,167852522,9,2711000
365,6982,91734537,10,992000
366,2219,570585620,5,2223000
367,9782,923654373,5,795000
368,4569,552936680,3,1576000
369,7725,228344728,8,1735000
370,5129,235151577,9,2136000
371,5490,184157001,1,2497000
372,9022,255903971,10,35000
373,3363,895001693,8,370000
374,5489,26008998,10,2496000
375,6188,485117652,7,198000
376,4093,737069649,8,1100000
377,5664,487426502,9,2671000
378,6106,702671334,4,116000
379,3305,915214626,9,312000
380,1185,364688177,3,1189000
381,9087,83452562,3,100000
382,878,717131259,8,882000
383,922,582894979,6,926000
384,7101,662588082,1,1111000
385,6174,757986913,1,184000
386,9421,878503507,7,434000
387,5666,568917517,6,2673000
388,7400,449339854,10,1410000
389,6555,132735341,8,565000
390,2976,959829752,7,2980000
391,6735,660079171,4,745000
392,3815,980392957,7,822000
393,9837,510705356,1,850000
394,9446,160086154,5,459000
395,6383,609695374,4,393000
396,7245,663100444,9,1255000
397,6880,478771644,7,890000
398,4826,864412797,2,1833000
399,2128,879163187,6,2132000
400,7558,983742825,5,1568000
401,4616,193025459,3,1623000
402,4624,617750374,4,1631000
403,4837,841789555,2,1844000
404,7743,283657121,7,1753000
405,7983,500082376,5,1993000
406,9887,504916689,5,900000
407,974,132566690,9,978000
408,371,625601289,10,375000
409,4948,948855156,10,1955000
410,7629,654909036,2,1639000
411,1009,635679617,5,1013000
412,1807,369717520,4,1811000
413,8481,842648559,4,2491000
414,2855,718244253,4,2859000
415,448,507700367,5,452000
416,8067,354879089,6,2077000
417,1194,542246808,7,1198000
418,417,847503716,9,421000
419,9923,280975760,8,936000
420,3903,80060656,9,910000
421,3419,563053132,5,426000
422,2912,580340436,5,2916000
423,9954,272299284,8,967000
424,7110,89404000,1,1120000
425,34,730802393,3,38000
426,2991,56556548,8,2995000
427,5687,986566065,9,2694000
428,3463,302880031,6,470000
429,7795,531464047,9,1805000
430,2663,156229009,4,2667000
431,3502,388681123,4,509000
432,3956,34860250,5,963000
433,6588,865539410,5,598000
434,7287,819675441,2,1297000
435,1838,969668216,5,1842000
436,1995,922945623,6,1999000
437,391,725129138,5,395000
438,1570,910030609,3,1574000
439,9667,468089803,9,680000
440,9323,629920122,6,336000
441,4214,228292161,5,1221000
442,1609,584685524,9,1613000
443,9652,152897145,4,665000
444,6739,704546517,1,749000
445,3846,832586070,2,853000
446,9922,564675362,9,935000
447,565,574497848,10,569000
448,7207,499582644,6,1217000
449,2068,427766362,3,2072000
450,2728,761717092,10,2732000
451,3358,243199683,8,365000
452,1844,812118997,7,1848000
453,225,508011907,8,229000
454,8556,438916907,2,2566000
455,692,519399878,1,696000
456,5507,351581488,7,2514000
457,3512,469283250,10,519000
458,5908,282982588,6,2915000
459,10,699349562,6,14000
460,7754,728091052,2,1764000
461,8444,479866351,4,2454000
462,9856,755800097,4,869000
463,4845,390548487,1,1852000
464,5764,741924553,10,2771000
465,6478,887455495,5,488000
466,239,930407945,7,243000
467,8936,697562431,10,2946000
468,681,609470408,2,685000
469,7771,694381458,5,1781000
470,6089,218698350,5,99000
471,4519,654775866,3,1526000
472,2930,135301520,1,2934000
473,1479,601941559,1,1483000
474,5261,845868141,10,2268000
475,8967,633301774,7,2977000
476,4836,811431810,8,1843000
477,883,173854141,1,887000
478,7887,409199415,10,1897000
479,3228,604537687,5,235000
480,4300,314118908,10,1307000
481,1374,397598774,2,1378000
482,2366,462978062,5,2370000
483,6365,612849748,8,375000
484,526,94266751,7,530000
485,6225,821695240,3,235000
486,1581,974662088,1,1585000
487,2513,287056412,2,2517000
488,9014,484839252,10,27000
489,4184,239522326,2,1191000
490,5431,130214491,8,2438000
491,3906,37527540,10,913000
492,1425,557098230,6,1429000
493,8795,404193561,3,2805000
494,71,951337779,10,75000
495,368,471330624,4,372000
496,1205,258509174,3,1209000
497,3052,564000580,4,59000
498,298,291797807,2,302000
499,3033,475787213,6,40000
500,1538,101796846,7,1542000
501,89,373986953,2,93000
502,1151,328305493,3,1155000
503,1175,180946111,5,1179000
504,2240,863037939,9,2244000
505,5705,365155508,7,2712000
506,3787,418119485,6,794000
507,799,535403576,9,803000
508,4242,992692210,7,1249000
509,8209,512859609,1,2219000
510,4721,424598619,1,1728000
511,4331,166608538,8,1338000
512,9511,788123516,2,524000
513,2844,249227075,1,2848000
514,993,738733012,8,997000
515,9433,724017062,2,446000
516,2675,193047901,2,2679000
517,3479,766608411,5,486000
518,8900,960861531,10,2910000
519,9003,365622010,1,16000
520,2870,447791930,6,2874000
521,1387,507407995,9,1391000
522,3962,593240716,4,969000
523,4182,125642040,4,1189000
524,8168,508177481,6,2178000
525,8801,937003982,10,2811000
526,6606,473128431,5,616000
527,687,103596996,5,691000
528,811,160104081,7,815000
529,4263,987063966,10,1270000
530,2319,349026304,9,2323000
531,8981,625615062,5,2991000
532,3634,26977383,3,641000
533,5011,923855067,8,2018000
534,4335,904306897,9,1342000
535,5176,119882967,8,2183000
536,3690,79183628,6,697000
537,1434,463436456,1,1438000
538,8127,15807439,5,2137000
539,1187,209980092,8,1191000
540,3238,196726040,8,245000
541,2838,831449314,10,2842000
542,2215,739732670,4,2219000
543,1174,147996052,9,1178000
544,1867,130660273,10,1871000
545,4299,946071546,6,1306000
546,6577,646813521,7,587000
547,8356,933005350,6,2366000
548,1206,520686787,8,1210000
549,5701,981404893,4,2708000
550,5043,737044623,3,2050000
551,486,270157125,5,490000
552,2593,259453672,8,2597000
553,7033,816235876,5,1043000
554,7190,413908669,5,1200000
555,2203,883668732,5,2207000
556,4799,143860902,6,1806000
557,4404,554182976,2,1411000
558,3458,456086157,3,465000
559,4129,463461449,10,1136000
560,9289,922665234,7,302000
561,1960,23852205,2,1964000
562,1532,573123011,6,1536000
563,102,193549320,4,106000
564,2444,688580355,1,2448000
565,3746,224248879,9,753000
566,3410,794707925,5,417000
567,32,33093530,4,36000
568,2805,653951460,7,2809000
569,3677,51514535,2,684000
570,1084,724381256,5,1088000
571,2876,888023131,2,2880000
572,4403,623232997,3,1410000
573,5769,342446947,6,2776000
574,5772,21654631,5,2779000
575,8959,936160481,2,2969000
576,5146,411602041,5,2153000
577,308,763004564,6,312000
578,8999,333808790,9,12000
579,6267,185506965,5,277000
580,8440,110577419,5,2450000
581,6282,366488101,8,292000
582,4910,773531734,3,1917000
583,8414,286365143,4,2424000
584,385,793418856,5,389000
585,6450,699126605,2,460000
586,5811,291499040,9,2818000
587,8673,128513252,8,2683000
588,2172,134728560,3,2176000
589,9033,299570673,5,46000
590,9723,619670415,3,736000
591,5112,428245749,1,2119000
592,5729,309870417,7,2736000
593,2673,681879542,9,2677000
594,8926,256671866,5,2936000
595,9463,889340500,3,476000
596,3406,234657540,9,413000
597,8462,968354743,10,2472000
598,6840,176411459,9,850000
599,4247,685153763,8,1254000
600,7575,774439065,8,1585000
601,1331,507224260,9,1335000
602,3217,822866725,1,224000
603,427,284526284,7,431000
604,671,128838442,8,675000
605,5680,303859414,5,2687000
606,7374,766282545,1,1384000
607,5869,262788733,8,2876000
608,9382,320903704,3,395000
609,9698,296998031,7,711000
610,9891,491922363,6,904000
611,3833,212430117,4,840000
612,6417,151757079,5,427000
613,5091,886999612,4,2098000
614,4185,643653039,3,1192000
615,9042,119043507,1,55000
616,233,369044039,10,237000
617,2727,403613970,10,2731000
618,4557,521896809,8,1564000
619,8584,996196337,8,2594000
620,7226,420785947,8,1236000
621,9797,132319507,1,810000
622,1729,274290556,5,1733000
623,9116,421672027,7,129000
624,2481,458285627,4,2485000
625,6639,943600839,6,649000
626,1630,145026755,2,1634000
627,596,952006346,4,600000
628,6529,893847389,4,539000
629,4273,413735789,8,1280000
630,2340,347179102,9,2344000
631,4082,661811643,2,1089000
632,2893,990462273,7,2897000
633,7067,789551880,3,1077000
634,1053,599384926,1,1057000
635,73,778521493,1,77000
636,1328,792065777,9,1332000
637,2760,656121505,6,2764000
638,5751,205297946,6,2758000
639,959,92548427,3,963000
640,1989,727973486,5,1993000
641,5068,538664403,5,2075000
642,9644,41078166,6,657000
643,6688,947333982,2,698000
644,9506,220607162,7,519000
645,3368,924898827,9,375000
646,1081,38567338,9,1085000
647,1128,865784812,1,1132000
648,8525,781337575,7,2535000
649,9750,170522878,5,763000
650,4019,916096191,10,1026000
651,6291,965414890,3,301000
652,5552,622437358,5,2559000
653,4953,179870625,2,1960000
654,4070,974453961,8,1077000
655,6782,567286415,6,792000
656,3341,754682662,10,348000
657,5797,85059049,2,2804000
658,7738,671688890,6,1748000
659,1765,354085118,1,1769000
660,7835,659858563,5,1845000
661,4544,781395171,2,1551000
662,4498,172750174,3,1505000
663,6286,329573406,7,296000
664,3510,501324746,4,517000
665,1868,187589573,4,1872000
666,7818,118529487,2,1828000
667,936,253164872,8,940000
668,9843,254523772,2,856000
669,7328,28724434,10,1338000
670,6571,407430699,8,581000
671,1558,857536463,1,1562000
672,9415,904600212,9,428000
673,6712,488877274,2,722000
674,1728,879182244,10,1732000
675,3237,538295500,2,244000
676,6251,708614761,4,261000
677,9976,195634174,5,989000
678,4942,262318946,2,1949000
679,1181,557200681,8,1185000
680,3190,657082920,9,197000
681,8281,783238083,7,2291000
682,9263,545043868,7,276000
683,8371,982337972,8,2381000
684,349,950135540,3,353000
685,3682,239780586,2,689000
686,5679,631214200,7,2686000
687,5185,122406390,8,2192000
688,7639,874362160,3,1649000
689,1155,68209977,7,1159000
690,3192,481061903,9,199000
691,8830,529535368,6,2840000
692,2779,81924104,2,2783000
693,972,379370861,3,976000
694,846,431860948,6,850000
695,3659,644104028,1,666000
696,5443,245084281,10,2450000
697,3447,74028894,5,454000
698,8564,119238826,8,2574000
699,3031,341681648,7,38000
700,9571,335183848,6,584000
701,4976,710610107,2,1983000
702,7703,81259057,8,1713000
703,8100,170685117,9,2110000
704,410,534980614,10,414000
705,2296,870295232,2,2300000
706,8885,287725632,8,2895000
707,5757,30235723,8,2764000
708,6506,789181454,5,516000
709,7526,379042139,6,1536000
710,2217,462356325,8,2221000
711,6314,392873015,10,324000
712,7063,410794889,5,1073000
713,6047,657507582,10,57000
714,3977,728206955,4,984000
715,5645,831990572,2,2652000
716,6822,742484505,10,832000
717,3562,765000483,1,569000
718,8588,37194165,3,2598000
719,8354,199730005,3,2364000
720,7309,730224167,8,1319000
721,624,188920883,6,628000
722,7792,574021387,10,1802000
723,2962,691098269,4,2966000
724,1708,243477126,4,1712000
725,6186,748310699,9,196000
726,3943,841575383,1,950000
727,2591,361704852,2,2595000
728,9297,607473666,8,310000
729,372,439402942,5,376000
730,1406,485200606,1,1410000
731,1186,NULL      ,1,1190000
732,7437,692509522,8,1447000
733,9337,801359922,3,350000
734,9385,446116702,10,398000
735,1395,45768109,2,1399000
736,844,848681225,2,848000
737,8985,851322988,9,2995000
738,7911,432221561,9,1921000
739,9955,949416508,9,968000
740,7148,839438020,6,1158000
741,9230,250024244,3,243000
742,5459,183335982,10,2466000
743,1771,681203854,8,1775000
744,4030,701926036,9,1037000
745,8450,169353413,6,2460000
746,9746,529019936,5,759000
747,8539,431329105,1,2549000
748,460,314100657,7,464000
749,4801,297043528,4,1808000
750,4563,179322509,4,1570000
751,5072,427423542,9,2079000
752,5657,211914403,7,2664000
753,1494,48338075,4,1498000
754,6521,257006610,1,531000
755,7618,724412074,7,1628000
756,8145,783241226,4,2155000
757,5383,730981174,7,2390000
758,8747,669022937,4,2757000
759,745,603188270,2,749000
760,4450,335727534,6,1457000
761,2133,553812272,10,2137000
762,1513,270104534,1,1517000
763,4046,20949017,6,1053000
764,4573,141894419,6,1580000
765,2301,236655382,5,2305000
766,4917,92969753,4,1924000
767,2523,244629470,8,2527000
768,1278,20813518,5,1282000
769,8002,741604870,10,2012000
770,5604,957106018,6,2611000
771,7064,456709470,7,1074000
772,4950,351590265,2,1957000
773,9122,898836499,8,135000
774,1933,823946842,10,1937000
775,1739,930636595,7,1743000
776,8284,796253071,5,2294000
777,3893,944937775,3,900000
778,7537,504590127,3,1547000
779,3515,75749348,10,522000
780,5565,236437438,3,2572000
781,75,486694886,10,79000
782,5038,332879033,10,2045000
783,1429,53769387,6,1433000
784,7870,168301654,8,1880000
785,639,872064574,1,643000
786,7441,726429146,1,1451000
787,1045,648087102,10,1049000
788,6191,117999178,4,201000
789,72,281342811,4,76000
790,1443,472808442,2,1447000
791,8428,795947588,6,2438000
792,5249,589981075,1,2256000
793,5871,975051840,2,2878000
794,8634,628257754,9,2644000
795,5387,929450081,3,2394000
796,3975,174354099,9,982000
797,3331,253134175,4,338000
798,4920,268342037,10,1927000
799,7746,540801867,8,1756000
800,7145,692666052,8,1155000
801,2719,916470380,6,2723000
802,2613,694843806,10,2617000
803,204,451295608,9,208000
804,132,455466378,3,136000
805,8630,800470650,1,2640000
806,6256,299957534,6,266000
807,8946,105106102,4,2956000
808,7201,674123426,6,1211000
809,9956,838557678,3,969000
810,7925,598071675,2,1935000
811,394,863161362,1,398000
812,9095,894774270,3,108000
813,8246,980584705,9,2256000
814,9314,875268228,4,327000
815,4550,232879995,10,1557000
816,5839,779764452,4,2846000
817,6344,468797459,1,354000
818,9105,999925910,1,118000
819,2194,776834124,6,2198000
820,2344,773996924,6,2348000
821,805,88699789,1,809000
822,7364,691204203,4,1374000
823,5477,586174296,4,2484000
824,4152,628117083,9,1159000
825,3316,560378610,5,323000
826,2391,23762403,8,2395000
827,1195,49816008,4,1199000
828,4226,429678237,2,1233000
829,3925,882682673,7,932000
830,1327,900554032,2,1331000
831,9996,311282116,3,1009000
832,623,341971416,8,627000
833,3688,483228750,10,695000
834,9744,37639807,5,757000
835,8756,413624557,2,2766000
836,9227,950330377,2,240000
837,7684,846532593,9,1694000
838,5436,520913149,1,2443000
839,2863,359162899,7,2867000
840,2614,833354461,7,2618000
841,1784,899166010,6,1788000
842,8277,444642603,3,2287000
843,1238,722996881,7,1242000
844,4126,805030530,2,1133000
845,1604,401601521,6,1608000
846,3765,474100471,3,772000
847,1516,938687879,9,1520000
848,1685,923603862,6,1689000
849,3680,649595187,6,687000
850,8372,753105640,4,2382000
851,3921,294797633,10,928000
852,5532,332805778,1,2539000
853,9556,429766044,8,569000
854,4664,365933727,4,1671000
855,9282,909464108,8,295000
856,3276,355150424,9,283000
857,8204,899180036,5,2214000
858,3894,58578559,1,901000
859,4959,23957875,4,1966000
860,220,981854098,4,224000
861,9566,943727841,9,579000
862,7690,223367492,8,1700000
863,6155,132985134,2,165000
864,4613,980668560,8,1620000
865,1520,382473392,9,1524000
866,6340,438489292,1,350000
867,3360,758896053,10,367000
868,1080,431829299,4,1084000
869,5861,861471963,7,2868000
870,3106,637914639,4,113000
871,6569,47352387,10,579000
872,2490,680711525,5,2494000
873,2317,968271805,2,2321000
874,5239,716366016,3,2246000
875,1167,749105518,8,1171000
876,3509,240604340,1,516000
877,6990,6547380,1,1000000
878,7730,309044258,4,1740000
879,5297,460734378,7,2304000
880,3667,158559355,8,674000
881,6893,263044510,8,903000
882,304,161301774,1,308000
883,6813,143800877,6,823000
884,7869,229106264,1,1879000
885,2955,830420992,5,2959000
886,5009,974092177,2,2016000
887,8812,231205747,10,2822000
888,7146,976233848,4,1156000
889,7545,388005453,6,1555000
890,5596,23931742,7,2603000
891,9545,266271069,7,558000
892,921,848579497,6,925000
893,2149,18127792,4,2153000
894,8750,104435712,6,2760000
895,1855,667842305,3,1859000
896,7360,365462788,9,1370000
897,8381,102446869,3,2391000
898,2119,135389081,2,2123000
899,4632,505897419,7,1639000
900,4210,708118784,1,1217000
901,4927,357340421,10,1934000
902,4233,694667593,10,1240000
903,1849,392800941,7,1853000
904,2758,334180951,1,2762000
905,1757,977719851,8,1761000
906,9288,860767369,3,301000
907,7082,515212553,10,1092000
908,5822,249315567,3,2829000
909,7254,463502885,10,1264000
910,1321,502210472,10,1325000
911,8479,36488166,4,2489000
912,5200,258675244,6,2207000
913,9321,39663652,1,334000
914,4140,511605948,4,1147000
915,1836,780439274,3,1840000
916,6257,811059680,10,267000
917,9621,576802920,2,634000
918,4186,402737480,6,1193000
919,1480,612109987,4,1484000
920,9757,950733982,10,770000
921,4177,616738612,1,1184000
922,6389,662581865,3,399000
923,8113,613049530,1,2123000
924,6552,923530712,4,562000
925,8977,269352147,9,2987000
926,7009,826831989,10,1019000
927,4174,748745093,1,1181000
928,2553,834891646,7,2557000
929,7571,776660852,1,1581000
930,6462,730930044,1,472000
931,3728,612225896,8,735000
932,8405,52124874,3,2415000
933,2430,624580081,9,2434000
934,1010,918732063,5,1014000
935,826,930789490,6,830000
936,7646,497074321,3,1656000
937,2279,464021121,5,2283000
938,2774,124459985,9,2778000
939,2584,322213970,4,2588000
940,2386,303169400,9,2390000
941,3188,487728501,9,195000
942,4842,60311616,1,1849000
943,6780,799353720,4,790000
944,9001,171235517,1,14000
945,833,53566415,10,837000
946,6615,67193745,2,625000
947,6761,568046859,1,771000
948,6775,854782795,4,785000
949,516,96478570,1,520000
950,7492,319013842,1,1502000
951,8675,372301240,5,2685000
952,1440,815032568,10,1444000
953,2936,931997688,8,2940000
954,1716,753541255,2,1720000
955,374,226974718,6,378000
956,9238,616277156,1,251000
957,3622,656822876,2,629000
958,8734,70504355,4,2744000
