ID_SP,TEN_SPHAM,MOTACHITIET_SP,KHOILUONG,GIANIEMYET,GIAKHUYENMAI,THOIGIANKM,SOLUONGTONKHO,GHICHUSPHAM,HANSUDUNGSP,NOISX,PHITIKITHU,LOAICAUTRUCSP,ID_TH,ID_DMN
16,GEIV13,NY1VZV,13,20000,18000,4,1370,MA0JZ3KRCPC2XJJ669N2FSNH381V7KN7EW6SP8UYCMBV75JE,10/9/2020 3:59,Nhật Bản,18000,3,31,4
17,ISYY62E8H5ORHLFGKO61K7QEBYJR0IZA5S5NJSSV97LTHV,E45I9NUXRDDBR3N2T3XB33G6M4L3D8ELYVE,7,21000,19000,4,9971,0A0W3SBTPAZ62CHK8Q5YA7COUILUPE8H5MW58BTBK0DFU,9/4/2021 10:19,Singapore,19000,3,863,113
18,IPU5K9,56X9AOPGJ72OHFKT4QINSIOH4ENNAT2XNQB9SWTW,17,22000,20000,5,3182,ZM4ABF,2/11/2021 23:33,Thái Lan,20000,3,996,130
19,NQMQ0LTGI4L4O,GF9H71,16,23000,21000,6,8686,BI90OS,11/5/2021 11:57,Trung Quốc,21000,3,678,89
20,7XLS4E,ZMWUAPSE7GOE4DW1Y5QMLBXEPPSZW5UGD15NZ9H9WDJ08EYG1BWHRGM5AW4SYORQGXT3TXCVNI27G7ATHQNNAD6U07I,19,24000,22000,0,4701,X5GQ2Q,6/27/2020 16:12,Việt Nam,22000,3,315,41
21,LQMA9I,8E1WOY1BXBQ8DAEWB8I0JP6SM0P6AMZBIND7EVG1LZ3XB,15,25000,23000,0,2328,JZT78F,12/30/2020 10:03,Việt Nam,23000,3,817,107
22,68NNM5XPDIUIQIRBA7CL1TZB5R31R54A4452BBN1TMO,4ZLC54RYK08J8F6PZTS6MQ4V99XQNCQOH1J0NCOO61VDPD,5,26000,24000,7,1849,5YIEMB9P,5/8/2021 19:40,Việt Nam,24000,3,849,111
23,V927PQ22AYAKQ6,9QDYXVU0CUN3XY3JHRDJTBRVZRI3JZZYHPVOEWYKNDT2FP7GM9A7ZIX4ERUWFHD5X3S4FQTSYC1RF6MTNXLX41QDPZLX,1,27000,25000,4,7033,JFQ765JMOYPDGD5LGK4VRUWN6D8GV8YI1MZY55LSKZYM8,1/31/2020 3:01,Thái Lan,25000,3,992,129
24,ZRAA1W0APO3OO7AD9V0VW57DYKUC44DHDETYPY72EGMV2AOVQ,056PIOWVDMJK56O4MLK4YKSJ204PCY60VPO4JWV0SIG2TQO35K8I0Z5OAPMEPPDUPCAU9TPV4K44829PFTEPSVD6JXY8SKQI5NYK,7,28000,26000,3,7326,QJ28KBC3K1FN52RK51974RSYW7GAJISVWD71MWN,11/11/2020 5:50,Trung Quốc,26000,3,33,5
25,L2AI9U,K2DX0V,19,29000,27000,1,3323,Q9QPUY,1/21/2021 3:46,Việt Nam,27000,3,700,91
26,TSR5BF,MQW7LC,19,30000,28000,6,5137,S4HKVP,8/7/2021 19:11,Đức,28000,3,527,69
27,NDL91B,Y62OM7,10,31000,29000,0,9355,1574F9OVP,4/23/2021 18:54,Trung Quốc,29000,3,935,122
28,H8YZ6CHZDPUJ6NQTUPCWFXP9TPNT1O0AWG21ENI7MGKQB,QFHHT10504EM5WLF6XB71OAPTCXCXCNSEW9FDHO2I6TLC28OEXJXW300VVZH3JCUQRDTPHUQT,11,32000,30000,2,9887,Z0N3V2D18,6/15/2020 13:34,Trung QUốc,30000,3,688,90
29,VW5SKW,AI8563QUBXJ2VMVXN7E2HOB3YGEVIA2TR44ZWFQI1LHJ1O68F2WXF9NFH5KXMSFSGLR1VBZK5TC54T8JE0NX2IEI6ZAWWM8BJH3,9,33000,31000,2,5331,UQ0VEZ8WQ2UBG9VS141W60D94VESDPTMRY1KFCOL5QGR1RX,3/3/2020 10:47,Hà Lan,31000,3,547,72
30,6UJA1A,JRRBLC1E3F1C6,15,34000,32000,0,9242,N96UM8,1/25/2021 23:44,Đài Loan,32000,3,82,11
31,KOP25A0Y3,W36PT0R3216P1S6ZEHZUY21RUBER9P8SRKOC65I,5,35000,33000,2,7216,9P7PW5,12/2/2020 4:40,Trung QUốc,33000,3,188,25
32,25668O5UJCS619D6XL7Z9TSA52QANGO2JWEUJWRVV,E0UROS,10,36000,34000,1,5119,SEBKA7,1/29/2020 5:48,Đài Loan,34000,3,454,59
33,PBB8SZTVO9OR3WPLH94CA6LRHPTO6YL9B2O0Y0QOBE19Y,RGOF7W,18,37000,35000,0,4856,Y0DKNS,7/30/2020 20:45,Hàn Quốc,35000,3,298,39
34,1K4QLZ5DHDE5V36BOXUDK1JWX0S2BIHITIMDCH,MX41XF,18,38000,36000,7,9720,XFOCHC,1/17/2020 4:26,Nhật Bản,36000,3,989,129
35,HZXAYYH3NWLDID4VJ5MXO,V4JGBJLHUJ9CSNQV62KW9JGR3IX01VFR4DZ50HZNLIL7BL1BO37P408UAJYB66ZGQKYUYFZEOAXDVDG,14,39000,37000,5,598,8WG6N1MNZT3MB31Z8LTHIR0VGT2JMAJVVOM21XL1T,7/8/2021 3:33,Trung Quốc,37000,3,643,84
36,F5GN1DJEW3V8Y0BZPL1V4D95E7T,JSHGYEOR9VYIVEM9MUGBG8FWUMIZS8HK6Y9Y6JO7RLR6QYS0UMD5CP8TRNZNMFD11PGNEHW00T1O26J9VI0V6F,7,40000,38000,3,5196,HVJ5UKT3R8P8LUR,3/19/2021 3:44,Hàn Quốc,38000,3,763,100
37,U6PFCXDBLJ4W5X2QSLORGHUGPEIQMOR4JQFARVWGNEQBV0,SEGS5H275C40JH2FHBQ2TARGY,6,41000,39000,5,5711,6A4ST4MMGL1F2GNU42UQGFYOUY4J61C,6/15/2020 12:06,Nhật Bản,39000,3,1016,4
38,OLOFAV,BISLF4,16,42000,40000,6,5213,8DZO2P21JT,10/8/2021 9:00,Trung Quốc,40000,3,382,50
39,FOYA71ERKPKOSS,X2217G,19,43000,41000,3,5908,L69W8VZID5E4L8YJA94B7RFA79PIWDFS3Z,11/13/2021 5:26,Trung Quốc,41000,3,344,45
40,BG7R5R,ENME9A,9,44000,42000,0,6909,L8AAYY54,8/27/2021 4:02,Hà Lan,42000,3,958,125
41,CI8CO4,3VL3IQ,17,45000,43000,1,8953,MOFUZH,11/10/2020 18:26,Thái Lan,43000,3,506,66
42,75OX0REPD7M1NCORT3Z1UPJLVMRJHFBG7S0WD5VM1,U4TRJ2L6ZIJW1Q9EOTZI4LQHGYM6M44PW0NNOA,17,46000,44000,5,9510,OEWGUKVVDH58DWPHVTY2T1W3TMEX0RYPIKN8N3BOCFD,1/5/2021 8:19,Trung Quốc,44000,3,716,94
43,G1SVM4,HPE4GC,16,47000,45000,4,795,O3STQBGIK666OT3QTH2GZ6MWADYP4TFY9BA4NP8SZKCU,6/12/2020 13:42,Trung QUốc,45000,3,119,16
44,ZXJWREN8ZQSHND9KM0D57R94ORYAUOUQ,9AQCV9D,13,48000,46000,7,641,S974OQKEO182AGOLC7G6F1P09PDFOZT4QIZWFNL8ZLLO,7/31/2020 5:50,Hà Lan,46000,3,1010,36
45,W3JHJH,DH46I3ZAACIG1DA8CT4MGJM,15,49000,47000,2,8388,WYJLN3,10/14/2021 23:09,Hà Lan,47000,3,908,118
46,OM4DE2VAGKUJH41PU1AXMGEYEFBT9UH03VMB0O,3Q495Z,17,50000,48000,3,3417,6DKAQXVDRFSCLVSSBO78PW5V25COVCX,3/16/2020 5:09,Trung Quốc,48000,3,795,104
47,V8WRVSJFBRQTCJ6KJGA4ID12APO9K0,2TRS50B8ZCPEI9ARP575YKWSB383ULGVKSBV0T18S2EUNX7ZZ6YNKOIEPS7Y2AUJA,1,51000,49000,0,3849,1BX5PLKSSS5PF3SQ,2/17/2020 17:51,Hà Lan,49000,3,338,44
48,VPPZG6PFZP27JQ1BFOIVMOHYDB,BHPEDOCLYZCTVIY6R6IRKMWPWMCEYGO6Y0LSK2HZG1SN,12,52000,50000,4,6138,NSNH4XL2E5,4/16/2021 13:49,Hàn Quốc,50000,3,458,60
49,WH1TF3,URQT3KDCELEFRLMVE1SBGPIXIV2IGCBSHHY6S09B6LM35ZQ3615Z5P2SXITDVJY0PKEHPSXJ0X0JIFGC8X1EC0DWYNP7JCLLF,8,53000,51000,5,7897,XXZJB2,12/21/2021 1:17,Trung Quốc,51000,3,147,20
50,SHOB2Y,L51Q4A,4,54000,52000,4,6824,0V3UC4E808PV175GN8T5KM3I4R9938G4QOR8BV27AUXHO621,11/23/2021 1:35,Trung Quốc,52000,3,222,29
51,0PXX5T,V2JYTQW4TMYTFSAC2UI957FZQNEPLST7GBQF0HVGINLDXKCL3ULQXCCHHVW0XJ,20,55000,53000,2,4152,7TYWN7,4/18/2021 7:17,Trung Quốc,53000,3,411,54
52,Y6YZZ9BDS,JVB2GA0XN,1,56000,54000,2,8053,NRF7XIME3YG0OJK72J29YZZGT,5/31/2021 13:36,Thái Lan,54000,3,719,94
53,MNIAAO,ZMCZM6,16,57000,55000,7,6999,TWZYO4,4/22/2020 2:54,Việt Nam,55000,3,620,81
54,MDXUJTUHUSHPWPPL4NQFK3NRAP9ABHR958ZV,NW3ZCP,11,58000,56000,0,3231,531389HVN28GU0JUTFU,6/17/2021 23:09,Trung Quốc,56000,3,488,64
55,B25Q244N4U2NVW05,45ZWN5U0UCL9ACBC,14,59000,57000,2,4759,CU5STBK440XTIYR2IKEABBECHE1MMRJ6NPVPDPSJXDL,10/2/2021 14:46,Trung Quốc,57000,3,195,26
56,V8D3U5,VCU0951F,4,60000,58000,0,2864,658XFROIUSW62JA25Q,9/6/2021 11:03,Trung Quốc,58000,3,879,115
57,N1NM19,BBGT4MVEQV6TVBBMIX0DLD2ZG1F3IK7Z54DG,4,61000,59000,4,6847,510CNDD6AFN8X2RRGVXD,11/13/2021 9:10,Nhật Bản,59000,3,826,108
58,WRP1Z6,DFK3HM,13,62000,60000,5,210,I0OUBXJKB9JZKC,6/10/2021 11:35,Nhật Bản,60000,3,736,96
59,U4BF09U1SCR2XBAK70R0,MB5W4OJD5U3BEDCJ7OR5WDNII4S1RFR1E1R5T2ATYQM4IE8LI7JUPHHDGZYFIH4SYLQNZUQHKYY6B,8,63000,61000,5,8591,ANVJC7B7INUKRZTM6LHUC6YEV8MYTPL901ZEMS4HLWWC,3/6/2020 17:25,Thái Lan,61000,3,859,112
60,FC42H3N299OSGK4XJGAM3,OSCWSES,14,64000,62000,0,8878,FXZQ59,1/3/2021 16:12,Đài Loan,62000,3,680,89
61,53YT7K6TFXNO1PEY613RXRTAXUXUKVXP0,MLRQTJN3J6UJ6W5WW48YLGBP08I345X4A86PO4V69KCO5Q,10,65000,63000,4,5246,CM63NH,2/8/2021 3:01,Trung Quốc,63000,3,625,82
62,EZWD33,0V8ABATPCMY7Q97WSM4H78P1B1B2PDYSEHAOGXGWAPUAS4IFSYRBSP6AJP7S63F6WQC8OZVJXW7DJ9RJIE3786Q,20,66000,64000,3,3053,9S6KLAW0,12/4/2021 7:43,Trung QUốc,64000,3,219,29
63,QR9R8Q4PYYCPE5ICIYYBMRQGVVMHFSQNMPOYDT,X05YHZHZXWW00LK11EDLWDM95HZ11BNERNQLBTXFYMPQ8IQU,13,67000,65000,2,5417,U6EXT7,12/26/2021 14:32,Singapore,65000,3,896,117
64,VOOCLRWTS9XTLG4ME6E1,QK4RCPUVT0EZLG0838OKAPRCC3MEUH,16,68000,66000,5,670,53ED362VQ252P9KL2YYB3C46EN78GS49ZK48,5/29/2021 9:03,Nhật Bản,66000,3,897,117
65,QYSAEZ,V1TBZMBSOG1SACFFN9XWNXVP7JP3TNXTP8QUK0BKG3LY,4,69000,67000,1,1616,748WGT,4/27/2020 10:30,Thái Lan,67000,3,87,12
66,774LR4,MNFO41,7,70000,68000,6,2388,V1SKRM,5/15/2020 11:59,Hàn Quốc,68000,3,839,110
67,RBTWZ4,JY4J7C,5,71000,69000,2,7366,0XDKCN06X7TKITQQXAQY,12/26/2020 21:42,Việt Nam,69000,3,171,23
68,4H5CO0,5662C6OKAG1DYMKUA4B9D6D51QS07Y4JISKP68JDKJ77U135BSRAOIZPVDBVJ83HNVE2RWN1FZSDV9IDMB8BGSFUE2B3E0,12,72000,70000,4,2200,JRVVRIQEMQ,2/2/2021 3:56,Thái Lan,70000,3,645,84
69,CBCRV,XFTOSXEN65NGNFBJN0QLB370U759XH5KMT5NXRVAP0E3ZSAZBLROBXI32QGO84LVP8RBC,19,73000,71000,3,5865,OQCWY2,11/9/2021 19:58,Trung Quốc,71000,3,827,108
70,RSOS6H,KAT5Y7KOHLC,1,74000,72000,7,6422,PAFTKX,11/29/2021 10:03,Việt Nam,72000,3,220,29
71,1UHP9A,10DJ19,8,75000,73000,6,5659,VF4RJ5BEKY602YPNURTI2RCOVK1JVZOYOV6UVZEMSB2L8VWZXJ,4/25/2020 15:53,Trung Quốc,73000,3,1000,130
72,30G9YX,EM3MWAB1CQ7UWEUZYUQNFOU8NP3MGZRAVT3VPAB7DDUXBRAI86GPVPVIHTX8IPE7NJM7W26EKMCB7C2KXLC6E0EPUX,11,76000,74000,5,4759,NM3PBWAGKNWRYDRD9NM1MCV5MCTE5,11/28/2021 1:20,Hàn Quốc,74000,3,482,63
73,2GM85O,ZK6CRH,19,77000,75000,2,7274,SQEJL4,4/1/2021 18:07,Trung Quốc,75000,3,653,85
74,TXDZAE,I4KAQL1OJT3KMQAI9Y69EXUQYC2XHBBV34TE3Z4QM084KL0ANCE6Y,7,78000,76000,5,1777,33VT3EQSRAW2PQWN4M3R295M5J,3/11/2020 7:54,Trung Quốc,76000,3,720,94
75,301ILT,KDXP21LORJKP7S6VCI1ZARO261S0XBVO3RFJYGYU4O35E7V6IHB8VAAZXW50WPCVYPF4QMI,2,79000,77000,7,5749,CI8DEJ,8/17/2021 21:46,Đức,77000,3,810,106
76,BCQGK7,3KSNNI,18,80000,78000,3,2818,VL4WSFFQY,12/26/2021 1:45,Trung QUốc,78000,3,101,14
77,869L1ZDAIFS3CVRZ2CCKV91NA939DCPE,3LX94X,9,81000,79000,3,1054,V63PNL,11/26/2020 5:58,Trung Quốc,79000,3,730,95
78,Q6G1SK,XRK1F8,9,82000,80000,4,6392,AKWC6L8J3DDK87FYM0EUXTVC25WS606LVRABBCVBG5,7/2/2021 21:12,Trung QUốc,80000,3,1052,94
79,AM9K6GSDVN181KWOSCSZPNQ4HUZDK,SRET8C,13,83000,81000,0,8938,AG8GLX9VK8T2E0NL94PKJ08HUSNL75XKVNEA7BQS8PCCI7QT,1/28/2021 6:41,Hà Lan,81000,3,126,17
80,LBFZTC,38Z7EU5EOEQOAE00BEFCG1G5B3S6IRGUT5GQ3QIZ9ZJE07TZWP,3,84000,82000,6,9907,AQUX6XJLGXZR4KQZ1LBBLTHW5BVB026T2UZ,11/6/2020 22:36,Việt Nam,82000,3,906,118
81,I5CGI1OPNR5FMXOIO1J7B0W0FPWRILZHCUECXX5K,LHT9PI,19,85000,83000,6,1288,OWWP9Y,6/21/2021 1:20,Nhật Bản,83000,3,190,25
82,SC0XRQ,BTGM4WGEWD06UQO2K74PSL7N4KBF4Q8U5ACBCFWYHFH3OEXBJFF268ON4S21UXTDHLVE4P7Y,19,86000,84000,3,3217,065X1DTXJKA99YGPZ5F8VM5THO8DOSTE72I7D1S7A3,1/8/2020 5:05,Trung QUốc,84000,3,477,62
83,4B68NKDM6O4HLE3045TVX7L6Z12K78MH6A9JG0Y88OLCK0,ADPVCZKAE1SGXAMQY8CG9WJDYFFDAH74C6CLTKQJ9J3BQUGQO064EMDMZIF3JTTICJAE1B45GPNSD,3,87000,85000,5,1991,S9AEDI30L5S5CAAORJO7F8Z5IUQ2ZVELNV61AYUSSX,6/26/2020 12:18,Trung Quốc,85000,3,541,71
84,4H1ZDD,UF2SQTEOI0U86CS9FPFB1ZGQJSMT5SELV6DLG8J1X1Z5KPU0K54CG3S81J09UBQH5FY0CCEJ2WFU7H9J2H493YPTLI,6,88000,86000,5,8507,2LPFHLKVE,4/11/2020 9:12,Singapore,86000,3,326,43
85,NKYWAG,ETNB9V1F7JISUZWZXSVF4QFXI6SPTS4OE8A3,16,89000,87000,6,5091,HLKJXI0A5U375U2NXM15D6U8DIE7TE02QFMX1ZWS6,10/10/2021 16:27,Việt Nam,87000,3,672,88
86,E610IMPKERA8UY3O0ZR3NVPZDN36MRZJDQEIQTYKIAFCQ5Y5Q,ESRR6M,5,90000,88000,7,9163,RSZIBRUYWNO,7/4/2021 15:04,Hàn Quốc,88000,3,469,61
87,RL8LHUO10TOG1QWKLBQSG3LJ374PA8F167VVJPOP0,YZ9SLB,14,91000,89000,2,8120,L1G2V8,10/9/2021 2:55,Hà Lan,89000,3,834,109
88,X3HCSO,OCODYQCSIP4ZFUFKVF18KY1XGYC,8,92000,90000,7,1626,13V7D,2/12/2021 21:36,Trung Quốc,90000,3,1075,106
89,1VHDKEXPTQMJF63XERNTF,XEEX4DMWMHT0HIS71X7AOH54LNMFNDK49IFPAVHDLR2P4EGW,4,93000,91000,5,4962,DL8M138UBQTXNHD2ER4P3FIU3A0JVILJHQF280PTNZE05,4/16/2020 13:41,Trung Quốc,91000,3,794,104
90,68BVXDU64S3TEGXQ,ZW8SZD11BWRO6SOOQM93X1PBMEVTK39JLDT4SF2YV6WTVXOLC6PZXKYT0171CW78PNMUD0UFM7OWUQCFD3OTMS,10,94000,92000,5,7734,PBJ7TY,11/1/2021 16:31,Trung Quốc,92000,3,765,100
91,I0879N,WV399O,4,95000,93000,7,8349,K26G2IHWVO5L3RW2SNH9J0S0G9EUGFTTF71MRH7G2R9N65WUUX,5/6/2021 18:34,Việt Nam,93000,3,938,122
92,O6M6OYCR9CTDWUQNZQBCBKFBNQBXE3GMRZ5HOYP5V7DHQDXQ,I4W3KS,13,96000,94000,0,5502,JEO4AB,1/6/2021 0:32,Trung Quốc,94000,3,295,39
93,8AAN7IQ0R508YU8SE1775M,CA1JYZUZJBZUXBEHY6JGDS1TM5AZTW8RE3VACFSM1YZRU8Y77YTQ0MJ7EK0HR0C,8,97000,95000,0,6622,UAK0RUDIUKI0ZPK,8/3/2021 15:35,Hà Lan,95000,3,523,68
94,JFL8Z5,WRMKJ9,6,98000,96000,2,7031,SF9QUNSSN4OIVXEV,11/9/2020 13:14,Trung QUốc,96000,3,664,87
95,Z4U7QH,ENKT23,20,99000,97000,4,1664,LN9S1R32HNYEY7JRLYHIPEQMGJB9Y0N3ZHVWF3V5ZZKB9T2PQ9,7/19/2020 1:00,Trung QUốc,97000,3,333,44
96,SHUN9R,1O090KRZ4W6JH5P8,17,100000,98000,5,5900,2YJ5K4,12/8/2020 10:44,Hà Lan,98000,3,287,38
97,FBOYRI8R5I2X1IFICWPJ3KRIDQ4XQVJV72,DMXEBG2N8ZA9MJ4WBS8D6DP8N8OELDAGOJO2ISV63V6RJHLRJEIKZH02PF76N5JFRUR8BOATC7U6FEOEUZOOEG,4,101000,99000,2,4094,FOLEN1,1/10/2021 17:48,Trung Quốc,99000,3,821,107
98,IR8GS8OL28G9A22YJMHLRH57HZXP5UR2N5B0P2Q0KJGNJ0IQ,2M8H21OMHFLEHRTECTWEPMFF97PPFO8IUSD2R,20,102000,100000,6,126,RP6USO,1/15/2021 4:39,Trung Quốc,100000,3,223,29
99,MS3MHTTUBUSX8P5ARHO,2N171ITV699Q7O3TYRYEV1NRBRDVQ3Z0B7Q6340IDUDN3IPHSPYB8CBST4C206QJWD8X6VIX26Q6GD4CTP0,9,103000,101000,6,9026,IDN4BBEXJG82R3Q2VQ5JL07MZ5TFS5HJGKTMFR8P0V9CD8C5,4/4/2020 19:19,Singapore,101000,3,187,25
100,P5WVEY,KZDWO7,8,104000,102000,4,6001,1HFEO4,6/1/2021 11:10,Trung Quốc,102000,3,69,9
101,S2PRXKI1BRZM4CNKE9ETV3JN8OHY,59F5Z4L61NIDCU57LBPASP39K7SLO7SA9NECJV3ER28NPE074KR67WOJZG3WT7Y,12,105000,103000,0,6051,N3O0GJMOD3QIG1OVQC6K37,3/21/2021 7:28,Trung Quốc,103000,3,1061,82
102,24EIHXG2501APXKRKU0N986WZ56Z06W,TOY7LP,10,106000,104000,3,1650,WSJ2P8CCJ8Q69FKAIF6VG7UJO31MV92YUQ3IODQMDTSG,1/15/2021 13:55,Thái Lan,104000,3,694,91
103,XRLU6J,R54YXC,13,107000,105000,1,273,90BOSQ,6/7/2021 17:52,Trung Quốc,105000,3,631,82
104,05XM4HOYRIVRGV52PIWIT3604YGLV8,98HRX0,8,108000,106000,5,1475,WU0S7E,1/22/2020 15:13,Đức,106000,3,928,121
105,896I93,SXBX7E,16,109000,107000,6,1166,7NK89IZGVVRMCB41UT1IGTD49RC8U615XBSWSZ4WTK4WAIWCHU,7/30/2021 9:42,Trung Quốc,107000,3,1050,29
106,C54OL,UHSWXD,9,110000,108000,4,9393,IT0AW6,5/22/2021 5:57,Nhật Bản,108000,3,929,121
107,10VR7D56BYIPAQGKTSJO0LX0Z0H0,JKLXYH,2,111000,109000,0,780,AHM9VN4MWFYOC2OXJ2JZAZB,2/29/2020 19:29,Trung Quốc,109000,3,67,9
108,5LQ3O8ZDRYL4R15UJX6MHWXQI7Q,WY9RGH2X3PFHEUHNU5F4LXXJ4S4THKO1ZT8AM35UPZ6UFXYVRM50Z9259VUBAJLQML,10,112000,110000,2,5222,G3AR6R,2/11/2020 18:59,Đài Loan,110000,3,901,118
109,LSPXO2C65VW6MJ2D6UC075YLDXIL68Y6YT28TFTVT7KCZ3BO,DIZTSPP82KBEMTBMU8H1VNHSY6ME873NA7JYHVZ9FDRORFKPVZOIKOCCN,9,113000,111000,1,7482,760GD2R5ZF7T3IJ9PQY86DOVY272TQ94QB,11/1/2021 1:24,Trung Quốc,111000,3,679,89
110,E3MS4F44KYK1FCFJCBNQML8ROOTCBYUQJS63GIC79L5,VILLYI,17,114000,112000,6,1941,WVA67L,10/8/2021 13:01,Singapore,112000,3,94,13
111,ESAOP2,WA818N,16,115000,113000,4,1811,DCI0TA,10/11/2020 5:05,Trung Quốc,113000,3,150,20
112,J10ZR50D1N1418GOLYUH79R90FRYJPBFKCYM,2QIZ4V,16,116000,114000,7,455,RIKQA2,5/13/2020 11:58,Singapore,114000,3,107,14
113,5KLMKYPLPGCPKHH4BP858KFRBXP9571TJL,8U4ZNV529LG8ZNZ0HTIP920NZAZQTXSRQ8AJ6KOF26PVZYJDP4NGA3EJDBJBA79YGG7J0O55ASTOMEYJMAY3W98S4TMZ52,1,117000,115000,4,1272,W0YMTR8B08LWY5ENOKCU479IU2CDQG,5/13/2020 4:53,Hàn Quốc,115000,3,610,80
114,8OL9X4RAW5PR5EBC3CY0EFAUD41GCILCN7XUQ4X45WF,ARNEWQS,6,118000,116000,7,8685,FZP6DXIJ83J29NH5C8N9BBGZSL83C216UQ4182NGKOHYW,4/30/2021 18:49,Trung Quốc,116000,3,954,124
115,4E94AZ,WTRXB1,15,119000,117000,2,7590,6RZBVE,7/16/2021 14:53,Singapore,117000,3,491,64
116,TRYLGT,80K26,11,120000,118000,0,2030,TVTLR7,1/31/2021 21:56,Hàn Quốc,118000,3,149,20
117,A5LWJQ,K9ZO4P,18,121000,119000,6,1063,B90AAEVKRKEMBRQEN9GFVIDG4ZFGIS8M3F40UFXOGT,6/9/2021 19:24,Nhật Bản,119000,3,1019,89
118,73OEF,SSKLU751UT5SUI90XPOV36G3Z2DAYSIAGS6TV997HV2T0ZT78CVRFTAZFBNBX6E,8,122000,120000,4,6911,ET5SCO,9/16/2021 5:19,Trung Quốc,120000,3,570,75
119,V439H74PANB,4ZV19CHOD7ZLQ4,1,123000,121000,7,5580,YBKM8Y,8/19/2021 16:36,Đức,121000,3,226,30
120,FY69IJ,QRDQKFI0A6EPNBFRM2WRM7K09,19,124000,122000,1,2453,RLEVIUSKPXI7Y7O680GVJ3,10/24/2020 19:27,Đức,122000,3,619,81
121,KCGUKX,EJGEEQV4VNFMC2T0PEWK9L0Y8C97JJU7UDR2MF2Y8XT0Z6JOS9X5QP75M3TGO42N77TFNT,14,125000,123000,3,4268,FPHZJT,8/7/2020 9:04,Singapore,123000,3,6,1
