ID_VOUCHER,TENVOUCHER,GIATIEN,GIAKHUYENMAI,DKSUDUNG,DACDIEMNOIBAT,THOIHANSUDUNG,ID_DMN
19,Hapbanewor,136000,81600,Không áp dụng cho chương trình trả góp 0%,Tự g.quyết các bài toán khi l.trình,4/7/2021 6:13,107
20,Endkilopor,138000,82800,Sử dụng tối đa 03 voucher/bill t.toán,Biết cách làm việc với Python.,7/11/2021 9:18,107
21,Grodudedicator,140000,84000,Không áp dụng đ.thời với c.trình k.mãi khác,Cơ hội hòa mình vào k.cảnh thanh bình,8/8/2021 17:49,107
22,Monmuninistor,142000,85200,Một lần t.toán có thể áp dụng nhiều Voucher.,"Nhân viên trẻ trung,n.nhẹn,n.tình",12/16/2021 4:50,107
23,Parsipedgicator,144000,86400,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,Buffet với 70 món nướng và các món ẩm thực N.Bản,1/3/2021 7:51,107
24,Addudamor,146000,87600,Không áp dụng cho chương trình trả góp 0%,"Áp dụng được cho cả nam, nữ",12/13/2021 3:51,107
25,Monsipexar,148000,88800,Không áp dụng cho chương trình trả góp 0%,Buffet sáng đẳng cấp quốc tế 5 sao.,5/29/2021 16:25,107
26,Dopsapinar,150000,90000,Sản phẩm không được áp dụng đổi trả,"Không gian ấm cúng, thân mật",5/25/2021 19:18,107
27,Thrunipimower,152000,91200,Số lượng voucher có hạn.,"Không gian ấm cúng, thân mật",8/22/2021 11:42,107
28,Dopfropar,154000,92400,Một lần t.toán có thể áp dụng nhiều Voucher.,"Tạo thói quen suy nghĩ,tư duy tích cực",8/25/2021 0:25,107
29,Suptinex,156000,93600,Không áp dụng cho chương trình trả góp 0%,"Đ.ngũ kỹ thuật viên chuyên nghiệp, bài bản",10/27/2021 3:02,107
30,Grojubin,158000,94800,Không áp dụng Lễ Tết,Cơ hội hòa mình vào k.cảnh thanh bình,4/3/2021 13:08,107
31,Untumadicator,160000,96000,Số lượng voucher có hạn.,Tự g.quyết các bài toán khi l.trình,9/1/2021 7:20,107
32,Winrobin,162000,97200,Không áp dụng cho chương trình trả góp 0%,"Đ.ngũ kỹ thuật viên chuyên nghiệp, bài bản",10/15/2021 5:55,107
33,Zeepebollazz,164000,98400,Không áp dụng cho chương trình trả góp 0%,"Nguyên liệu chế biến tươi ngon, sạch sẽ",12/23/2020 21:11,107
34,Truwerpan,166000,99600,Số lượng voucher có hạn.,Có phiếu quà tặng tiền mặt vs nhiều mệnh giá,12/30/2021 3:07,107
35,Qwifropommin,168000,100800,Áp dụng cho tất cả các ngày trong tuần,Buffet sáng đẳng cấp quốc tế 5 sao.,9/19/2021 14:06,107
36,Unpickefan,170000,102000,Sử dụng tối đa 03 voucher/bill t.toán,Voucher áp dụng cho Buffet tối 40 món,11/13/2021 8:31,107
37,Surhupantor,172000,103200,Sản phẩm không được áp dụng đổi trả,Có phiếu quà tặng tiền mặt vs nhiều mệnh giá,10/16/2021 22:11,107
38,Groquestistor,174000,104400,Sản phẩm không được áp dụng đổi trả,Voucher áp dụng cho Buffet tối 40 món,6/29/2021 11:21,107
39,Truwerpefover,176000,105600,Khách hàng có thể đặt mua một lần nhiều Voucher,Cơ hội hòa mình vào k.cảnh thanh bình,8/25/2021 11:03,107
40,Mondudopax,178000,106800,Voucher có giá trị sử dụng đúng 01 lần.,Miễn phí đón tiễn sân bay 2 chiều.,12/29/2021 12:32,107
41,Frotanazz,180000,108000,Không áp dụng Lễ Tết,Miễn phí đón tiễn sân bay 2 chiều.,2/23/2021 6:31,107
42,Grodimentor,182000,109200,Liên hệ hotline 0899 165 001 nếu cần tư vấn thêm,"Không gian ấm cúng, thân mật",1/8/2021 13:40,107
43,Klicadupin,184000,110400,Không áp dụng cho chương trình trả góp 0%,Voucher áp dụng cho Buffet tối 40 món,5/12/2021 11:06,107
44,Tuphupommex,186000,111600,Không áp dụng Lễ Tết,"Nhân viên trẻ trung,n.nhẹn,n.tình",11/9/2021 18:18,107
45,Endwerar,188000,112800,Không áp dụng cho chương trình trả góp 0%,"Không gian ấm cúng, thân mật",4/5/2021 17:34,107
46,Trusapazz,190000,114000,Không áp dụng Lễ Tết,"Đ.ngũ kỹ thuật viên chuyên nghiệp, bài bản",5/23/2021 6:10,107
47,Thrududefantor,192000,115200,Sử dụng tối đa 03 voucher/bill t.toán,Khắc phục các lỗi an ninh mạng.,6/26/2021 3:57,107
48,Grodimollower,194000,116400,Số lượng voucher có hạn.,Có phiếu quà tặng tiền mặt vs nhiều mệnh giá,12/21/2021 3:00,107
49,Suptumistor,196000,117600,Sử dụng tối đa 03 voucher/bill t.toán,Buffet với 70 món nướng và các món ẩm thực N.Bản,12/15/2020 16:21,107
50,Varvenollex,198000,118800,Không áp dụng đ.thời với c.trình k.mãi khác,Cơ hội hòa mình vào k.cảnh thanh bình,8/4/2021 3:30,107
51,Varglibupistor,200000,120000,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,Buffet với 70 món nướng và các món ẩm thực N.Bản,12/4/2020 3:38,107
52,Tupsapover,202000,121200,Không có giá trị quy đổi thành tiền.,"Đ.ngũ kỹ thuật viên chuyên nghiệp, bài bản",12/4/2020 22:14,107
53,Hapfropazz,204000,122400,Khách hàng có thể đặt mua một lần nhiều Voucher,"Tạo thói quen suy nghĩ,tư duy tích cực",10/1/2021 8:16,107
54,Trunipentor,206000,123600,Không áp dụng cho chương trình trả góp 0%,Miễn phí đón tiễn sân bay 2 chiều.,8/21/2021 6:24,107
55,Inweraquicator,208000,124800,Sản phẩm không được áp dụng đổi trả,Buffet sáng đẳng cấp quốc tế 5 sao.,7/22/2021 22:26,107
56,Grobanefazz,210000,126000,Không có giá trị quy đổi thành tiền.,Buffet sáng đẳng cấp quốc tế 5 sao.,8/17/2021 21:51,107
57,Montinazz,212000,127200,Voucher có giá trị sử dụng đúng 01 lần.,"Tạo thói quen suy nghĩ,tư duy tích cực",1/31/2021 15:23,107
58,Thrukilanin,214000,128400,Không áp dụng cho chương trình trả góp 0%,"Áp dụng được cho cả nam, nữ",12/20/2021 7:58,107
59,Unwerover,216000,129600,Không áp dụng đ.thời với c.trình k.mãi khác,Cơ hội hòa mình vào k.cảnh thanh bình,7/31/2021 3:11,107
60,Zeenipollentor,218000,130800,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,"Áp dụng được cho cả nam, nữ",5/6/2021 23:15,107
61,Ciptanan,220000,132000,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,"Nhân viên trẻ trung,n.nhẹn,n.tình",9/26/2021 16:41,107
62,Monhupor,222000,133200,Sử dụng tối đa 03 voucher/bill t.toán,"Áp dụng được cho cả nam, nữ",5/31/2021 20:11,107
63,Frotumover,224000,134400,Sử dụng tối đa 03 voucher/bill t.toán,"Tạo thói quen suy nghĩ,tư duy tích cực",3/13/2021 23:21,107
64,Doptinover,226000,135600,Không có giá trị quy đổi thành tiền.,Buffet sáng đẳng cấp quốc tế 5 sao.,9/14/2021 10:44,107
65,Pareristor,228000,136800,Không áp dụng cho chương trình trả góp 0%,Khắc phục các lỗi an ninh mạng.,3/1/2021 20:14,107
66,Parglibar,230000,138000,Số lượng voucher có hạn.,Miễn phí đón tiễn sân bay 2 chiều.,11/28/2021 1:59,107
67,Tipdiman,232000,139200,Không áp dụng Lễ Tết,Hiểu được cảm xúc của chính mình.,5/26/2021 21:05,107
68,Parkilollin,234000,140400,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,Buffet sáng đẳng cấp quốc tế 5 sao.,12/22/2020 23:25,107
69,Hapdimax,236000,141600,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,Buffet với 70 món nướng và các món ẩm thực N.Bản,12/23/2020 19:39,107
70,Barfropax,238000,142800,Sản phẩm không được áp dụng đổi trả,Voucher áp dụng cho Buffet tối 40 món,6/25/2021 14:48,107
71,Rezapilazz,240000,144000,Không áp dụng Lễ Tết,Cơ hội hòa mình vào k.cảnh thanh bình,3/24/2021 9:33,107
72,Klidimicator,242000,145200,01 Voucher/01 d.vụ. Không bù tiền,Tự g.quyết các bài toán khi l.trình,12/29/2020 20:40,107
73,Varhupadistor,244000,146400,Áp dụng cho tất cả các ngày trong tuần,Cơ hội hòa mình vào k.cảnh thanh bình,12/5/2021 5:54,107
74,Rebanefex,246000,147600,Không áp dụng đ.thời với c.trình k.mãi khác,Voucher áp dụng cho Buffet tối 40 món,4/8/2021 17:41,107
75,Qwihupilantor,248000,148800,Không có giá trị quy đổi thành tiền.,"Nhân viên trẻ trung,n.nhẹn,n.tình",4/18/2021 2:47,107
76,Trududantor,250000,150000,Sử dụng tối đa 03 voucher/bill t.toán,"Nguyên liệu chế biến tươi ngon, sạch sẽ",7/1/2021 4:08,107
77,Zeepebazz,252000,151200,Sản phẩm không được áp dụng đổi trả,Voucher áp dụng cho Buffet tối 40 món,7/6/2021 17:43,107
78,Inglibackax,254000,152400,Không có giá trị quy đổi thành tiền.,Biết cách làm việc với Python.,2/23/2021 13:33,107
79,Intumentor,256000,153600,Số lượng voucher có hạn.,"Không gian ấm cúng, thân mật",8/9/2021 10:16,107
80,Frocadewax,258000,154800,01 Voucher/01 d.vụ. Không bù tiền,"Không gian ấm cúng, thân mật",12/7/2020 10:14,107
81,Hapbananover,260000,156000,Khách hàng có thể đặt mua một lần nhiều Voucher,"Áp dụng được cho cả nam, nữ",11/29/2021 15:22,107
82,Qwitanplazz,262000,157200,Áp dụng cho tất cả các ngày trong tuần,Voucher áp dụng cho Buffet tối 40 món,9/1/2021 8:42,107
83,Wintanover,264000,158400,01 Voucher/01 d.vụ. Không bù tiền,Hiểu được cảm xúc của chính mình.,8/10/2021 8:04,107
84,Rappebistor,266000,159600,Voucher có giá trị sử dụng đúng 01 lần.,Hiểu được cảm xúc của chính mình.,2/22/2021 23:31,107
85,Adhupplex,268000,160800,Voucher có giá trị sử dụng đúng 01 lần.,"Áp dụng được cho cả nam, nữ",3/31/2021 9:29,107
86,Surtanommover,270000,162000,Sử dụng tối đa 03 voucher/bill t.toán,"Không gian ấm cúng, thân mật",8/28/2021 9:05,107
87,Adweregower,272000,163200,Số lượng voucher có hạn.,Cơ hội hòa mình vào k.cảnh thanh bình,12/14/2020 21:39,107
88,Unrobistor,274000,164400,Số lượng voucher có hạn.,Khắc phục các lỗi an ninh mạng.,5/4/2021 14:47,107
89,Parsipador,276000,165600,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,"Đ.ngũ kỹ thuật viên chuyên nghiệp, bài bản",5/10/2021 4:40,107
90,Dopdudefax,278000,166800,Số lượng voucher có hạn.,"Tạo thói quen suy nghĩ,tư duy tích cực",1/2/2021 16:15,107
91,Zeewerpepentor,280000,168000,Voucher có giá trị sử dụng đúng 01 lần.,"Không gian ấm cúng, thân mật",9/12/2021 17:07,107
92,Fropickefentor,282000,169200,Voucher có giá trị sử dụng đúng 01 lần.,Buffet sáng đẳng cấp quốc tế 5 sao.,10/27/2021 14:13,107
93,Frodimover,284000,170400,Sử dụng tối đa 03 voucher/bill t.toán,Buffet sáng đẳng cấp quốc tế 5 sao.,11/29/2021 8:11,107
94,Varzapexex,286000,171600,Liên hệ hotline 0899 165 001 nếu cần tư vấn thêm,Buffet với 70 món nướng và các món ẩm thực N.Bản,3/21/2021 11:48,107
95,Vardudewicator,288000,172800,Không có giá trị quy đổi thành tiền.,"Nguyên liệu chế biến tươi ngon, sạch sẽ",3/4/2021 19:51,107
96,Uptumicator,290000,174000,Voucher có giá trị sử dụng đúng 01 lần.,"Không gian ấm cúng, thân mật",9/24/2021 10:20,107
97,Thrusipepax,292000,175200,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,"Không gian ấm cúng, thân mật",10/27/2021 14:20,107
98,Retinazz,294000,176400,Sản phẩm không được áp dụng đổi trả,Miễn phí đón tiễn sân bay 2 chiều.,8/28/2021 0:23,107
99,Hapnipamover,296000,177600,Không áp dụng đ.thời với c.trình k.mãi khác,Cơ hội hòa mình vào k.cảnh thanh bình,8/10/2021 22:04,107
100,Trufropexar,298000,178800,Khách hàng có thể đặt mua một lần nhiều Voucher,Tự g.quyết các bài toán khi l.trình,5/8/2021 15:36,107
101,Frojubador,300000,180000,Số lượng voucher có hạn.,Cơ hội hòa mình vào k.cảnh thanh bình,12/27/2021 9:06,107
102,Winrobommor,302000,181200,Không có giá trị quy đổi thành tiền.,"Không gian ấm cúng, thân mật",6/4/2021 4:32,107
103,Adpickentor,304000,182400,Không áp dụng cho chương trình trả góp 0%,Hiểu được cảm xúc của chính mình.,11/28/2021 7:20,107
104,Hapvenax,306000,183600,01 Voucher/01 d.vụ. Không bù tiền,Hiểu được cảm xúc của chính mình.,6/22/2021 1:33,107
105,Rewericator,308000,184800,Không áp dụng Lễ Tết,"Tạo thói quen suy nghĩ,tư duy tích cực",4/12/2021 17:56,107
106,Rebanistor,310000,186000,Sản phẩm không được áp dụng đổi trả,"Đ.ngũ kỹ thuật viên chuyên nghiệp, bài bản",12/5/2021 6:58,107
107,Barquesticantor,312000,187200,Áp dụng cho tất cả các ngày trong tuần,Hiểu được cảm xúc của chính mình.,12/30/2020 16:21,107
108,Winwerpex,314000,188400,Voucher có giá trị sử dụng đúng 01 lần.,Khắc phục các lỗi an ninh mạng.,5/25/2021 14:34,107
109,Tipbaninistor,316000,189600,Sản phẩm không được áp dụng đổi trả,"Nhân viên trẻ trung,n.nhẹn,n.tình",4/5/2021 3:37,107
110,Qwitumover,318000,190800,Không áp dụng đ.thời với c.trình k.mãi khác,"Nhân viên trẻ trung,n.nhẹn,n.tình",12/22/2020 18:18,107
111,Varwerpentor,320000,192000,Voucher có giá trị sử dụng đúng 01 lần.,Cơ hội hòa mình vào k.cảnh thanh bình,1/12/2021 4:07,107
112,Unzapexicator,322000,193200,Sử dụng tối đa 03 voucher/bill t.toán,Voucher áp dụng cho Buffet tối 40 món,12/8/2021 1:51,107
113,Resapamor,324000,194400,Không áp dụng cho chương trình trả góp 0%,"Không gian ấm cúng, thân mật",4/12/2021 21:42,107
114,Rapsapicator,326000,195600,Sử dụng tối đa 03 voucher/bill t.toán,"Nguyên liệu chế biến tươi ngon, sạch sẽ",7/24/2021 16:56,107
115,Wintaninentor,328000,196800,Một lần t.toán có thể áp dụng nhiều Voucher.,Có phiếu quà tặng tiền mặt vs nhiều mệnh giá,6/7/2021 7:53,107
116,Parerower,330000,198000,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,Buffet với 70 món nướng và các món ẩm thực N.Bản,12/26/2020 7:58,107
117,Emdimax,332000,199200,Sản phẩm không được áp dụng đổi trả,Cơ hội hòa mình vào k.cảnh thanh bình,10/21/2021 12:08,107
118,Supcadimantor,334000,200400,Voucher có giá trị sử dụng đúng 01 lần.,Có phiếu quà tặng tiền mặt vs nhiều mệnh giá,12/19/2020 23:49,107
119,Sursapax,336000,201600,Sản phẩm không được áp dụng đổi trả,"Không gian ấm cúng, thân mật",5/17/2021 1:14,107
120,Tipsipazz,338000,202800,Không áp dụng đ.thời với c.trình k.mãi khác,Miễn phí đón tiễn sân bay 2 chiều.,7/4/2021 11:09,107
121,Recadanover,340000,204000,Áp dụng cho tất cả các ngày trong tuần,Có phiếu quà tặng tiền mặt vs nhiều mệnh giá,11/14/2021 4:19,107
122,Haptanower,342000,205200,Không áp dụng Lễ Tết,Voucher áp dụng cho Buffet tối 40 món,12/23/2020 6:17,107
123,Cipkilan,344000,172000,Số lượng voucher có hạn.,"Không gian ấm cúng, thân mật",8/14/2021 18:45,73
124,Rapmunimazz,346000,173000,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,Voucher áp dụng cho Buffet tối 40 món,12/21/2021 3:25,73
125,Tuppickazz,348000,174000,Khách hàng có thể đặt mua một lần nhiều Voucher,Hiểu được cảm xúc của chính mình.,10/12/2021 21:42,73
126,Dopdudicazz,350000,175000,Sử dụng tối đa 03 voucher/bill t.toán,Biết cách làm việc với Python.,5/27/2021 19:21,73
127,Adhupazz,352000,176000,Sử dụng tối đa 03 voucher/bill t.toán,Có phiếu quà tặng tiền mặt vs nhiều mệnh giá,1/30/2021 12:30,73
128,Surglibicator,354000,177000,Một lần t.toán có thể áp dụng nhiều Voucher.,"Đ.ngũ kỹ thuật viên chuyên nghiệp, bài bản",8/16/2021 18:05,73
129,Truglibentor,356000,178000,Không áp dụng cho chương trình trả góp 0%,Khắc phục các lỗi an ninh mạng.,1/4/2021 21:50,73
130,Qwitinover,358000,179000,Không áp dụng cho chương trình trả góp 0%,Buffet với 70 món nướng và các món ẩm thực N.Bản,7/24/2021 16:27,73
131,Tuptumackicator,360000,180000,Không có giá trị quy đổi thành tiền.,Buffet với 70 món nướng và các món ẩm thực N.Bản,9/3/2021 13:48,73
132,Barrobommazz,362000,181000,Áp dụng cho tất cả các ngày trong tuần,Miễn phí đón tiễn sân bay 2 chiều.,11/8/2021 17:21,73
133,Dopfropollan,364000,182000,Không áp dụng Lễ Tết,"Áp dụng được cho cả nam, nữ",7/15/2021 15:29,73
134,Uptanantor,366000,183000,Không áp dụng Lễ Tết,Miễn phí đón tiễn sân bay 2 chiều.,3/3/2021 18:39,73
135,Dopglibefistor,368000,184000,01 Voucher/01 d.vụ. Không bù tiền,Tự g.quyết các bài toán khi l.trình,12/11/2020 1:09,73
136,Suprobewor,370000,185000,Sản phẩm không được áp dụng đổi trả,Voucher áp dụng cho Buffet tối 40 món,5/28/2021 10:50,73
137,Emdimicator,372000,186000,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,"Không gian ấm cúng, thân mật",10/4/2021 1:23,73
138,Trupebedgover,374000,187000,Số lượng voucher có hạn.,"Tạo thói quen suy nghĩ,tư duy tích cực",1/19/2021 6:30,73
139,Untumex,376000,188000,Không áp dụng cho chương trình trả góp 0%,Hiểu được cảm xúc của chính mình.,11/12/2021 5:35,73
140,Thrutumex,378000,189000,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,"Tạo thói quen suy nghĩ,tư duy tích cực",4/26/2021 2:32,73
141,Rekilor,380000,190000,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,"Nguyên liệu chế biến tươi ngon, sạch sẽ",7/29/2021 16:44,73
142,Uncadepentor,382000,191000,Áp dụng cho tất cả các ngày trong tuần,Tự g.quyết các bài toán khi l.trình,7/22/2021 7:05,73
143,Klierentor,384000,192000,Sử dụng tối đa 03 voucher/bill t.toán,Miễn phí đón tiễn sân bay 2 chiều.,12/30/2020 11:10,73
144,Hapwerpicator,386000,193000,Không áp dụng đ.thời với c.trình k.mãi khác,Voucher áp dụng cho Buffet tối 40 món,4/18/2021 10:22,73
145,Grotinar,388000,194000,Áp dụng cho tất cả các ngày trong tuần,Cơ hội hòa mình vào k.cảnh thanh bình,12/21/2021 12:09,73
146,Winfropupazz,390000,195000,Không có giá trị quy đổi thành tiền.,Buffet với 70 món nướng và các món ẩm thực N.Bản,10/5/2021 15:17,73
147,Supvenover,392000,196000,01 Voucher/01 d.vụ. Không bù tiền,"Đ.ngũ kỹ thuật viên chuyên nghiệp, bài bản",6/16/2021 16:30,73
148,Trutumax,394000,197000,Số lượng voucher có hạn.,"Nguyên liệu chế biến tươi ngon, sạch sẽ",4/7/2021 15:15,73
149,Monwericator,396000,198000,Không có giá trị quy đổi thành tiền.,Có phiếu quà tặng tiền mặt vs nhiều mệnh giá,10/14/2021 3:56,73
150,Klidudentor,398000,199000,Không áp dụng đ.thời với c.trình k.mãi khác,"Không gian ấm cúng, thân mật",2/7/2021 11:52,73
151,Klibanewar,400000,200000,Không áp dụng Lễ Tết,Tự g.quyết các bài toán khi l.trình,12/3/2021 22:12,73
152,Emvenex,402000,201000,Sử dụng tối đa 03 voucher/bill t.toán,"Không gian ấm cúng, thân mật",10/8/2021 14:31,73
153,Surbanadicator,404000,202000,Áp dụng cho tất cả các ngày trong tuần,"Áp dụng được cho cả nam, nữ",3/13/2021 23:08,73
154,Truwerower,406000,203000,Áp dụng cho tất cả các ngày trong tuần,Hiểu được cảm xúc của chính mình.,1/7/2021 10:54,73
155,Endfropover,408000,204000,Không áp dụng cho chương trình trả góp 0%,Buffet sáng đẳng cấp quốc tế 5 sao.,6/24/2021 11:18,73
156,Emkilamower,410000,205000,Khách hàng có thể đặt mua một lần nhiều Voucher,"Áp dụng được cho cả nam, nữ",12/5/2021 2:48,73
157,Revenazz,412000,206000,Không có giá trị quy đổi thành tiền.,Có phiếu quà tặng tiền mặt vs nhiều mệnh giá,10/20/2021 9:47,73
158,Supwerex,414000,207000,Một lần t.toán có thể áp dụng nhiều Voucher.,Khắc phục các lỗi an ninh mạng.,12/8/2021 3:55,73
159,Barzapollan,416000,208000,Khách hàng có thể đặt mua một lần nhiều Voucher,"Tạo thói quen suy nghĩ,tư duy tích cực",9/9/2021 3:51,73
160,Zeesipepover,418000,209000,Sử dụng tối đa 03 voucher/bill t.toán,Voucher áp dụng cho Buffet tối 40 món,11/15/2021 22:36,73
161,Thrubanover,420000,210000,Không áp dụng đ.thời với c.trình k.mãi khác,"Đ.ngũ kỹ thuật viên chuyên nghiệp, bài bản",10/5/2021 18:28,73
162,Reerin,422000,211000,01 Voucher/01 d.vụ. Không bù tiền,Cơ hội hòa mình vào k.cảnh thanh bình,5/15/2021 22:17,73
163,Frotumantor,424000,212000,01 Voucher/01 d.vụ. Không bù tiền,Có phiếu quà tặng tiền mặt vs nhiều mệnh giá,4/20/2021 16:43,73
164,Supquestistor,426000,213000,Voucher có giá trị sử dụng đúng 01 lần.,"Không gian ấm cúng, thân mật",9/11/2021 11:10,73
165,Uncadomman,428000,214000,Không áp dụng cho chương trình trả góp 0%,"Không gian ấm cúng, thân mật",4/20/2021 4:30,73
166,Haprobower,430000,215000,Voucher có giá trị sử dụng đúng 01 lần.,"Tạo thói quen suy nghĩ,tư duy tích cực",3/5/2021 10:46,73
167,Varpickilax,432000,216000,Không có giá trị quy đổi thành tiền.,"Tiết kiệm t.gian, công sức trong h.tập",4/25/2021 10:21,73
168,Admunentor,434000,217000,01 Voucher/01 d.vụ. Không bù tiền,Tự g.quyết các bài toán khi l.trình,1/10/2021 3:03,73
169,Truglibadover,436000,218000,Sản phẩm không được áp dụng đổi trả,Buffet sáng đẳng cấp quốc tế 5 sao.,7/14/2021 15:47,73
170,Tiphupistor,438000,219000,Không áp dụng cho chương trình trả góp 0%,Biết cách làm việc với Python.,12/10/2020 21:03,73
171,Tipsipax,440000,220000,Số lượng voucher có hạn.,Hiểu được cảm xúc của chính mình.,3/24/2021 6:36,73
172,Tipvenor,442000,221000,Không áp dụng cho chương trình trả góp 0%,Cơ hội hòa mình vào k.cảnh thanh bình,9/2/2021 5:37,73
173,Qwiweristor,444000,222000,01 Voucher/01 d.vụ. Không bù tiền,Buffet với 70 món nướng và các món ẩm thực N.Bản,2/6/2021 18:14,73
174,Rapkilower,446000,223000,Không áp dụng đ.thời với c.trình k.mãi khác,"Nhân viên trẻ trung,n.nhẹn,n.tình",12/21/2020 22:42,73
175,Trurobopar,448000,224000,01 Voucher/01 d.vụ. Không bù tiền,"Không gian ấm cúng, thân mật",12/5/2021 18:26,73
176,Tiphupor,450000,225000,Số lượng voucher có hạn.,"Áp dụng được cho cả nam, nữ",3/25/2021 21:13,73
177,Grorobaquax,452000,226000,Sử dụng tối đa 03 voucher/bill t.toán,Miễn phí đón tiễn sân bay 2 chiều.,12/23/2021 19:08,73
178,Suppebplower,454000,227000,01 Voucher/01 d.vụ. Không bù tiền,Có phiếu quà tặng tiền mặt vs nhiều mệnh giá,3/29/2021 8:22,73
179,Varjubover,456000,228000,Thanh toán thêm 10% VAT khi cần xuất hóa đơn.,Buffet sáng đẳng cấp quốc tế 5 sao.,12/30/2021 15:17,73
180,Cipfropedistor,458000,229000,Không áp dụng cho chương trình trả góp 0%,Biết cách làm việc với Python.,12/8/2020 6:25,73
181,Emdudanex,460000,230000,Không áp dụng cho chương trình trả góp 0%,"Đ.ngũ kỹ thuật viên chuyên nghiệp, bài bản",12/11/2021 2:51,73
182,Frosipewax,462000,231000,Sử dụng tối đa 03 voucher/bill t.toán,Tự g.quyết các bài toán khi l.trình,10/24/2021 21:16,73
183,Endbanexor,464000,232000,Không áp dụng đ.thời với c.trình k.mãi khác,"Áp dụng được cho cả nam, nữ",11/2/2021 14:10,73
184,Dopglibentor,466000,233000,Voucher có giá trị sử dụng đúng 01 lần.,Buffet sáng đẳng cấp quốc tế 5 sao.,11/27/2021 9:59,73
185,Emfropicin,468000,234000,Liên hệ hotline 0899 165 001 nếu cần tư vấn thêm,"Áp dụng được cho cả nam, nữ",8/20/2021 18:15,73
186,Klibanistor,470000,235000,Không áp dụng cho chương trình trả góp 0%,Hiểu được cảm xúc của chính mình.,11/25/2021 23:17,73
187,Unfropican,472000,236000,Áp dụng cho tất cả các ngày trong tuần,"Không gian ấm cúng, thân mật",7/28/2021 18:13,73
